DDI,sequence_num,auc,blAUC,diffAUC
PF00167.10_int_PF07679.8,25,0.893,0.964,-0.071
PF00167.10_int_PF07679.8,26,0.979,0.998,-0.019
PF00243.10_int_PF00243.10,1,0.879,0.885,-0.006
PF00243.10_int_PF00243.10,2,0.922,0.883,0.039
PF00243.10_int_PF00243.10,3,0.875,0.938,-0.063
PF00243.10_int_PF00243.10,4,0.54,0.83,-0.29
PF00243.10_int_PF00243.10,7,0.854,0.854,0.0
PF00243.10_int_PF00243.10,8,0.906,0.916,-0.01
PF00243.10_int_PF00243.10,12,0.928,0.925,0.003
PF00254.20_int_PF00254.20,1,0.919,0.792,0.127
PF00254.20_int_PF00254.20,7,0.82,0.996,-0.176
PF00254.20_int_PF00254.20,9,0.581,0.866,-0.285
PF00254.20_int_PF00254.20,15,0.797,0.828,-0.031
PF00254.20_int_PF00254.20,16,0.675,0.75,-0.075
PF00254.20_int_PF00254.20,18,0.826,0.942,-0.116
PF00385.16_int_PF00385.16,1,1.0,0.967,0.033
PF00385.16_int_PF00385.16,11,0.97,0.93,0.04
PF00385.16_int_PF00385.16,13,0.889,0.975,-0.086
PF00385.16_int_PF00385.16,17,0.898,0.978,-0.08
PF00385.16_int_PF00385.16,18,0.881,0.856,0.025
PF00385.16_int_PF00385.16,19,0.936,0.906,0.03
PF00393.11_int_PF00393.11,1,0.841,0.18,0.661
PF00393.11_int_PF00393.11,2,0.86,0.872,-0.012
PF00393.11_int_PF00393.11,5,0.921,0.914,0.007
PF00393.11_int_PF00393.11,7,0.914,0.882,0.032
PF00393.11_int_PF00393.11,11,0.937,0.887,0.05
PF00511.9_int_PF00511.9,1,0.999,1.0,-0.001
PF00511.9_int_PF00511.9,2,0.989,0.976,0.013
PF00511.9_int_PF00511.9,3,0.999,0.947,0.052
PF00511.9_int_PF00511.9,7,1.0,0.997,0.003
PF00511.9_int_PF00511.9,9,0.926,0.952,-0.026
PF00511.9_int_PF00511.9,15,0.949,0.966,-0.017
PF00563.12_int_PF00563.12,1,0.62,0.683,-0.063
PF00563.12_int_PF00563.12,2,0.661,0.52,0.141
PF00563.12_int_PF00563.12,4,0.64,0.409,0.231
PF00563.12_int_PF00563.12,9,0.264,0.045,0.219
PF00617.11_int_PF00618.12,1,0.986,0.995,-0.009
PF00617.11_int_PF00618.12,11,0.952,0.991,-0.039
PF00711.11_int_PF00711.11,1,0.778,0.667,0.111
PF00711.11_int_PF00711.11,23,0.84,0.43,0.41
PF00712.11_int_PF02768.7,1,0.99,0.995,-0.005
PF00712.11_int_PF02768.7,7,0.995,1.0,-0.005
PF00712.11_int_PF02768.7,9,1.0,0.998,0.002
PF00782.12_int_PF00782.12,1,1.0,1.0,0.0
PF00782.12_int_PF00782.12,2,0.97,0.923,0.047
PF00782.12_int_PF00782.12,3,0.455,0.409,0.046
PF00782.12_int_PF00782.12,4,0.898,0.875,0.023
PF00782.12_int_PF00782.12,7,0.852,0.806,0.046
PF00782.12_int_PF00782.12,11,0.904,0.95,-0.046
PF00782.12_int_PF00782.12,13,0.893,0.009,0.884
PF00782.12_int_PF00782.12,18,0.893,0.983,-0.09
PF00034.13_int_PF00141.15,0.8725,1.0,-0.1275
PF00254.20_int_PF00254.20,0.769666666667,0.862333333333,-0.0926666666667
PF00243.10_int_PF00243.10,0.843428571429,0.890142857143,-0.0467142857143
PF00028.9_int_PF00028.9,0.836125,0.880625,-0.0445
PF00617.11_int_PF00618.12,0.969,0.993,-0.024
PF00074.12_int_PF07686.9,0.898333333333,0.922333333333,-0.024
PF00033.11_int_PF00033.11,0.966,0.9885,-0.0225
