DDI	no.	FisherMode	method	isTest	accuracy	precision	recall
Alpha-amylase_int_CBM_48	10	FisherM1	SVM	True	0.724137931	0.525	0.5344827586
Alpha-amylase_int_CBM_48	10	FisherM1	SVM	False	0.5386533666	0.5454545455	0.5448877805
Alpha-amylase_int_CBM_48	10	FisherM1	DL	False	0.9161490683	0.7763157895	0.8252730109
Alpha-amylase_int_CBM_48	10	FisherM1	DL	True	0.9655172414	0.6511627907	0.724137931
Alpha-amylase_int_CBM_48	10	FisherM1	DL_U	False	0.7732919255	0.7732919255	0.7722308892
Alpha-amylase_int_CBM_48	10	FisherM1	DL_U	True	0.8965517241	0.7428571429	0.7931034483
Alpha-amylase_int_CBM_48	11	FisherM1	SVM	True	0.6666666667	0.4615384615	0.4444444444
Alpha-amylase_int_CBM_48	11	FisherM1	SVM	False	0.4883227176	0.5609756098	0.5530785563
Alpha-amylase_int_CBM_48	11	FisherM1	DL	False	0.3938618926	0.8191489362	0.6401062417
Alpha-amylase_int_CBM_48	11	FisherM1	DL	True	0.1111111111	0.125	0.1666666667
Alpha-amylase_int_CBM_48	11	FisherM1	DL_U	False	0.7442455243	0.6705069124	0.6772908367
Alpha-amylase_int_CBM_48	11	FisherM1	DL_U	True	0.3333333333	0.2727272727	0.2222222222
Alpha-amylase_int_CBM_48	12	FisherM1	SVM	True	0.5333333333	0.5517241379	0.55
Alpha-amylase_int_CBM_48	12	FisherM1	SVM	False	0.4347826087	0.6081081081	0.577294686
Alpha-amylase_int_CBM_48	12	FisherM1	DL	False	0.6546546547	0.8825910931	0.7824773414
Alpha-amylase_int_CBM_48	12	FisherM1	DL	True	0.8	0.8888888889	0.85
Alpha-amylase_int_CBM_48	12	FisherM1	DL_U	False	0.7147147147	0.8235294118	0.7794561934
Alpha-amylase_int_CBM_48	12	FisherM1	DL_U	True	0.8333333333	0.8620689655	0.85
Alpha-amylase_int_CBM_48	13	FisherM1	SVM	True	0.3571428571	0.5263157895	0.5178571429
Alpha-amylase_int_CBM_48	13	FisherM1	SVM	False	0.4788029925	0.5889570552	0.572319202
Alpha-amylase_int_CBM_48	13	FisherM1	DL	False	0.8858024691	0.7103960396	0.75975039
Alpha-amylase_int_CBM_48	13	FisherM1	DL	True	0.6428571429	0.4615384615	0.4464285714
Alpha-amylase_int_CBM_48	13	FisherM1	DL_U	False	0.7037037037	0.6805970149	0.6833073323
Alpha-amylase_int_CBM_48	13	FisherM1	DL_U	True	0.5714285714	0.4444444444	0.4285714286
Alpha-amylase_int_CBM_48	14	FisherM1	SVM	True	0.6451612903	0.5882352941	0.5967741935
Alpha-amylase_int_CBM_48	14	FisherM1	SVM	False	0.4829396325	0.5954692557	0.5774278215
Alpha-amylase_int_CBM_48	14	FisherM1	DL	False	0.213559322	0.984375	0.6174055829
Alpha-amylase_int_CBM_48	14	FisherM1	DL	True	0.3548387097	1	0.6774193548
Alpha-amylase_int_CBM_48	14	FisherM1	DL_U	False	0.2711864407	0.987654321	0.645320197
Alpha-amylase_int_CBM_48	14	FisherM1	DL_U	True	0.4516129032	1	0.7258064516
Alpha-amylase_int_CBM_48	15	FisherM1	SVM	True	0.6774193548	0.75	0.7258064516
Alpha-amylase_int_CBM_48	15	FisherM1	SVM	False	0.4541062802	0.5911949686	0.5700483092
Alpha-amylase_int_CBM_48	15	FisherM1	DL	False	0.7672955975	0.728358209	0.750755287
Alpha-amylase_int_CBM_48	15	FisherM1	DL	True	0.7096774194	0.6470588235	0.6612903226
Alpha-amylase_int_CBM_48	15	FisherM1	DL_U	False	0.713836478	0.7322580645	0.7371601208
Alpha-amylase_int_CBM_48	15	FisherM1	DL_U	True	0.7096774194	0.6470588235	0.6612903226
Alpha-amylase_int_CBM_48	16	FisherM1	SVM	True	0.6451612903	0.6060606061	0.6129032258
Alpha-amylase_int_CBM_48	16	FisherM1	SVM	False	0.4782608696	0.5744125326	0.5619565217
Alpha-amylase_int_CBM_48	16	FisherM1	DL	False	0.4368131868	0.7162162162	0.6358695652
Alpha-amylase_int_CBM_48	16	FisherM1	DL	True	0.5161290323	0.64	0.6129032258
Alpha-amylase_int_CBM_48	16	FisherM1	DL_U	False	0.6318681319	0.6744868035	0.6671195652
Alpha-amylase_int_CBM_48	16	FisherM1	DL_U	True	0.6451612903	0.625	0.6290322581
Alpha-amylase_int_CBM_48	17	FisherM1	SVM	True	0.5483870968	0.5	0.5
Alpha-amylase_int_CBM_48	17	FisherM1	SVM	False	0.4810126582	0.5588235294	0.5506329114
Alpha-amylase_int_CBM_48	17	FisherM1	DL	False	0.6163522013	0.8	0.7294303797
Alpha-amylase_int_CBM_48	17	FisherM1	DL	True	0.7096774194	0.7096774194	0.7096774194
Alpha-amylase_int_CBM_48	17	FisherM1	DL_U	False	0.5597484277	0.8018018018	0.7088607595
Alpha-amylase_int_CBM_48	17	FisherM1	DL_U	True	0.6774193548	0.7777777778	0.7419354839
Alpha-amylase_int_CBM_48	18	FisherM1	SVM	True	0.5483870968	0.5	0.5
Alpha-amylase_int_CBM_48	18	FisherM1	SVM	False	0.4601226994	0.5514705882	0.5429447853
Alpha-amylase_int_CBM_48	18	FisherM1	DL	False	0.7088607595	0.7977207977	0.7621483376
Alpha-amylase_int_CBM_48	18	FisherM1	DL	True	0.3548387097	0.6470588235	0.5806451613
Alpha-amylase_int_CBM_48	18	FisherM1	DL_U	False	0.7215189873	0.8096590909	0.773657289
Alpha-amylase_int_CBM_48	18	FisherM1	DL_U	True	0.4193548387	0.7647058824	0.6451612903
Alpha-amylase_int_CBM_48	19	FisherM1	SVM	True	0.6774193548	0.5675675676	0.5806451613
Alpha-amylase_int_CBM_48	19	FisherM1	SVM	False	0.5169811321	0.5696465696	0.5632075472
Alpha-amylase_int_CBM_48	19	FisherM1	DL	False	0.7651331719	0.9132947977	0.8502358491
Alpha-amylase_int_CBM_48	19	FisherM1	DL	True	0.8387096774	0.8965517241	0.8709677419
Alpha-amylase_int_CBM_48	19	FisherM1	DL_U	False	0.9152542373	0.8253275109	0.8643867925
Alpha-amylase_int_CBM_48	19	FisherM1	DL_U	True	0.9032258065	0.8235294118	0.8548387097
Alpha-amylase_int_CBM_48	20	FisherM1	SVM	True	0.5357142857	0.5357142857	0.5357142857
Alpha-amylase_int_CBM_48	20	FisherM1	SVM	False	0.5065502183	0.5771144279	0.5676855895
Alpha-amylase_int_CBM_48	20	FisherM1	DL	False	0.7046070461	0.8049535604	0.7650273224
Alpha-amylase_int_CBM_48	20	FisherM1	DL	True	0.5	0.6086956522	0.5892857143
Alpha-amylase_int_CBM_48	20	FisherM1	DL_U	False	0.7886178862	0.776	0.7786885246
Alpha-amylase_int_CBM_48	20	FisherM1	DL_U	True	0.5714285714	0.5517241379	0.5535714286
Alpha-amylase_int_CBM_48	21	FisherM1	SVM	True	0.6923076923	0.5294117647	0.5384615385
Alpha-amylase_int_CBM_48	21	FisherM1	SVM	False	0.5546038544	0.5581896552	0.5578158458
Alpha-amylase_int_CBM_48	21	FisherM1	DL	False	0.7016129032	0.7744807122	0.749665328
Alpha-amylase_int_CBM_48	21	FisherM1	DL	True	0.4230769231	0.6111111111	0.5769230769
Alpha-amylase_int_CBM_48	21	FisherM1	DL_U	False	0.8440860215	0.6569037657	0.702811245
Alpha-amylase_int_CBM_48	21	FisherM1	DL_U	True	1	0.5	0.5
Alpha-amylase_int_CBM_48	22	FisherM1	SVM	True	0.7142857143	0.5405405405	0.5535714286
Alpha-amylase_int_CBM_48	22	FisherM1	SVM	False	0.5401785714	0.5817307692	0.5758928571
Alpha-amylase_int_CBM_48	22	FisherM1	DL	False	0.9395604396	0.7292110874	0.7918994413
Alpha-amylase_int_CBM_48	22	FisherM1	DL	True	0.9285714286	0.5	0.5
Alpha-amylase_int_CBM_48	22	FisherM1	DL_U	False	0.760989011	0.7406417112	0.7430167598
Alpha-amylase_int_CBM_48	22	FisherM1	DL_U	True	0.7142857143	0.5128205128	0.5178571429
Alpha-amylase_int_CBM_48	23	FisherM1	SVM	True	0.7037037037	0.5588235294	0.5740740741
Alpha-amylase_int_CBM_48	23	FisherM1	SVM	False	0.4549356223	0.5872576177	0.5675965665
Alpha-amylase_int_CBM_48	23	FisherM1	DL	False	0.8315217391	0.7555555556	0.7838926174
Alpha-amylase_int_CBM_48	23	FisherM1	DL	True	0.7777777778	0.5384615385	0.5555555556
Alpha-amylase_int_CBM_48	23	FisherM1	DL_U	False	0.8233695652	0.7537313433	0.7798657718
Alpha-amylase_int_CBM_48	23	FisherM1	DL_U	True	0.5925925926	0.5	0.5
Alpha-amylase_int_CBM_48	24	FisherM1	SVM	True	0.6363636364	0.4516129032	0.4318181818
Alpha-amylase_int_CBM_48	24	FisherM1	SVM	False	0.5565819861	0.5578703704	0.5577367206
Alpha-amylase_int_CBM_48	24	FisherM1	DL	False	0.5923753666	0.8278688525	0.7384393064
Alpha-amylase_int_CBM_48	24	FisherM1	DL	True	0.0909090909	0.6666666667	0.5227272727
Alpha-amylase_int_CBM_48	24	FisherM1	DL_U	False	0.6451612903	0.7213114754	0.7023121387
Alpha-amylase_int_CBM_48	24	FisherM1	DL_U	True	0.5	0.44	0.4318181818
Alpha-amylase_int_CBM_48	25	FisherM1	SVM	True	0.4782608696	0.4782608696	0.4782608696
Alpha-amylase_int_CBM_48	25	FisherM1	SVM	False	0.4080604534	0.5912408759	0.5629722922
Alpha-amylase_int_CBM_48	25	FisherM1	DL	False	0.9465408805	0.671875	0.7417322835
Alpha-amylase_int_CBM_48	25	FisherM1	DL	True	0.6956521739	0.4705882353	0.4565217391
Alpha-amylase_int_CBM_48	25	FisherM1	DL_U	False	0.9213836478	0.6926713948	0.7559055118
Alpha-amylase_int_CBM_48	25	FisherM1	DL_U	True	0.8695652174	0.487804878	0.4782608696
Alpha-amylase_int_CBM_48	26	FisherM1	SVM	True	0.5	0.5111111111	0.5108695652
Alpha-amylase_int_CBM_48	26	FisherM1	SVM	False	0.5193236715	0.5470737913	0.5446859903
Alpha-amylase_int_CBM_48	26	FisherM1	DL	False	0.8615384615	0.6222222222	0.6752265861
Alpha-amylase_int_CBM_48	26	FisherM1	DL	True	0.6739130435	0.5344827586	0.5434782609
Alpha-amylase_int_CBM_48	26	FisherM1	DL_U	False	0.6984615385	0.707165109	0.7099697885
Alpha-amylase_int_CBM_48	26	FisherM1	DL_U	True	0.4565217391	0.488372093	0.4891304348
Alpha-amylase_int_CBM_48	27	FisherM1	SVM	True	0.5957446809	0.5283018868	0.5319148936
Alpha-amylase_int_CBM_48	27	FisherM1	SVM	False	0.4525139665	0.5785714286	0.561452514
Alpha-amylase_int_CBM_48	27	FisherM1	DL	False	0.9100346021	0.6726342711	0.7307692308
Alpha-amylase_int_CBM_48	27	FisherM1	DL	True	0.6382978723	0.4838709677	0.4787234043
Alpha-amylase_int_CBM_48	27	FisherM1	DL_U	False	0.5155709343	0.8277777778	0.701048951
Alpha-amylase_int_CBM_48	27	FisherM1	DL_U	True	0.170212766	0.4	0.4574468085
Alpha-amylase_int_CBM_48	28	FisherM1	SVM	True	0.4680851064	0.55	0.5425531915
