DDI,sequence_num,auc,blAUC,diffAUC
E2_bind_int_ThiF,2,1,1,0
E2_bind_int_ThiF,3,1,1,0
E2_bind_int_ThiF,4,1,1,0
E2_bind_int_ThiF,5,1,1,0
E2_bind_int_ThiF,6,1,1,0
E2_bind_int_ThiF,7,1,1,0
E2_bind_int_ThiF,8,0.926,1,-0.074
E2_bind_int_ThiF,9,1,1,0
E2_bind_int_ThiF,10,1,1,0
E2_bind_int_ThiF,11,1,1,0
E2_bind_int_ThiF,12,0.967,0.992,-0.025
E2_bind_int_ThiF,13,1,1,0
E2_bind_int_ThiF,14,1,1,0
E2_bind_int_ThiF,15,1,1,0
E2_bind_int_ThiF,16,1,1,0
E2_bind_int_ThiF,17,1,1,0
E2_bind_int_ThiF,18,1,1,0
E2_bind_int_ThiF,19,1,1,0
E2_bind_int_ThiF,20,1,1,0
E2_bind_int_ThiF,21,0.973,1,-0.027
E2_bind_int_ThiF,22,1,1,0
E2_bind_int_ThiF,23,1,1,0
E2_bind_int_ThiF,24,1,1,0
E2_bind_int_ThiF,25,1,1,0
E2_bind_int_ThiF,26,1,1,0
EpoR_lig-bind_int_fn3,1,1,1,0
EpoR_lig-bind_int_fn3,2,1,1,0
EpoR_lig-bind_int_fn3,3,1,1,0
EpoR_lig-bind_int_fn3,4,1,1,0
EpoR_lig-bind_int_fn3,5,1,1,0
EpoR_lig-bind_int_fn3,6,1,1,0
EpoR_lig-bind_int_fn3,7,1,1,0
EpoR_lig-bind_int_fn3,8,1,1,0
EpoR_lig-bind_int_fn3,9,0.8,1,-0.2
EpoR_lig-bind_int_fn3,10,1,0.878,0.122
EpoR_lig-bind_int_fn3,11,1,1,0
EpoR_lig-bind_int_fn3,12,0.96,0.963,-0.003
EpoR_lig-bind_int_fn3,13,0.907,0.907,0
EpoR_lig-bind_int_fn3,14,1,1,0
EpoR_lig-bind_int_fn3,15,1,0.992,0.008
EpoR_lig-bind_int_fn3,16,0.765,0.926,-0.161
EpoR_lig-bind_int_fn3,17,1,1,0
EpoR_lig-bind_int_fn3,18,0.9,0.9,0
EpoR_lig-bind_int_fn3,19,1,1,0
EpoR_lig-bind_int_fn3,20,1,0.98,0.02
EpoR_lig-bind_int_fn3,21,1,1,0
EpoR_lig-bind_int_fn3,22,1,1,0
EpoR_lig-bind_int_fn3,23,1,1,0
EpoR_lig-bind_int_fn3,24,1,1,0
EpoR_lig-bind_int_fn3,25,1,1,0
EpoR_lig-bind_int_fn3,26,1,1,0
EpoR_lig-bind_int_fn3,27,0.959,0.995,-0.036
EpoR_lig-bind_int_fn3,28,1,1,0
EpoR_lig-bind_int_fn3,29,1,1,0
EpoR_lig-bind_int_fn3,30,1,0.993,0.007
EpoR_lig-bind_int_fn3,31,1,0.875,0.125
FGF_int_I-set,1,0.969,0.973,-0.004
FGF_int_I-set,2,0.972,0.978,-0.006
FGF_int_I-set,3,0.689,0.893,-0.204
FGF_int_I-set,4,0.82,0.78,0.04
FGF_int_I-set,5,1,1,0
FGF_int_I-set,6,0.991,0.998,-0.007
FGF_int_I-set,7,0.965,0.958,0.007
FGF_int_I-set,8,0.954,0.965,-0.011
FGF_int_I-set,9,0.945,0.997,-0.052
FGF_int_I-set,10,0.97,0.983,-0.013
FGF_int_I-set,11,0.941,1,-0.059
FGF_int_I-set,12,0.975,1,-0.025
FGF_int_I-set,13,1,1,0
FGF_int_I-set,14,0.978,0.999,-0.021
FGF_int_I-set,15,0.998,1,-0.002
FGF_int_I-set,16,1,0.976,0.024
FGF_int_I-set,17,0.97,0.998,-0.028
FGF_int_I-set,18,1,0.999,0.001
FGF_int_I-set,19,0.985,1,-0.015
FGF_int_I-set,20,1,0.965,0.035
FGF_int_I-set,21,1,1,0
FGF_int_I-set,22,0.996,0.961,0.035
FGF_int_I-set,23,1,0.858,0.142
FGF_int_I-set,24,0.972,0.991,-0.019
FGF_int_I-set,25,0.781,0.796,-0.015
FGF_int_I-set,26,0.901,0.951,-0.05
FGF_int_I-set,27,0.993,1,-0.007
FGF_int_I-set,28,0.979,0.975,0.004
FGF_int_I-set,29,1,1,0
FGF_int_I-set,30,0.997,0.975,0.022
FGF_int_I-set,31,1,0.944,0.056
FGF_int_I-set,32,0.982,0.97,0.012
FGF_int_I-set,33,1,0.977,0.023
FGF_int_I-set,34,1,0.962,0.038
FGF_int_I-set,35,1,1,0
FGF_int_I-set,36,1,0.97,0.03
FGF_int_I-set,37,0.947,1,-0.053
FGF_int_I-set,38,0.976,1,-0.024
FGF_int_I-set,39,0.592,0.673,-0.081
FGF_int_I-set,40,1,1,0
FGF_int_I-set,41,0.968,0.998,-0.03
FGF_int_I-set,42,0.998,1,-0.002
FGF_int_I-set,43,0.995,0.974,0.021
FGF_int_I-set,44,1,0.99,0.01
FGF_int_I-set,45,0.954,0.975,-0.021
FGF_int_I-set,46,0.948,1,-0.052
FGF_int_I-set,47,0.897,0.834,0.063
FGF_int_I-set,48,0.899,0.988,-0.089
FGF_int_I-set,49,0.938,0.951,-0.013
FGF_int_I-set,50,0.979,0.975,0.004
FGF_int_I-set,51,0.934,0.937,-0.003
FGF_int_I-set,52,1,0.994,0.006
FGF_int_I-set,53,0.967,0.974,-0.007
FGF_int_I-set,54,1,0.982,0.018
FGF_int_I-set,55,0.998,0.953,0.045
GFRP_int_GTP_cyclohydroI,1,1,1,0
GFRP_int_GTP_cyclohydroI,2,1,1,0
GFRP_int_GTP_cyclohydroI,3,1,1,0
GFRP_int_GTP_cyclohydroI,4,1,1,0
GFRP_int_GTP_cyclohydroI,5,1,1,0
GFRP_int_GTP_cyclohydroI,6,1,1,0
GFRP_int_GTP_cyclohydroI,7,1,1,0
GFRP_int_GTP_cyclohydroI,8,1,1,0
GFRP_int_GTP_cyclohydroI,9,1,1,0
GFRP_int_GTP_cyclohydroI,10,1,1,0
GFRP_int_GTP_cyclohydroI,11,1,1,0
GFRP_int_GTP_cyclohydroI,12,1,1,0
GFRP_int_GTP_cyclohydroI,13,1,1,0
GFRP_int_GTP_cyclohydroI,14,1,1,0
GFRP_int_GTP_cyclohydroI,15,1,1,0
GFRP_int_GTP_cyclohydroI,16,1,1,0
GFRP_int_GTP_cyclohydroI,17,1,1,0
GFRP_int_GTP_cyclohydroI,18,1,1,0
GFRP_int_GTP_cyclohydroI,19,1,1,0
GFRP_int_GTP_cyclohydroI,20,1,1,0
GFRP_int_GTP_cyclohydroI,21,1,1,0
GFRP_int_GTP_cyclohydroI,22,1,1,0
GFRP_int_GTP_cyclohydroI,23,1,1,0
GFRP_int_GTP_cyclohydroI,24,1,1,0
GFRP_int_GTP_cyclohydroI,25,1,1,0
GFRP_int_GTP_cyclohydroI,26,1,1,0
GFRP_int_GTP_cyclohydroI,27,1,1,0
GFRP_int_GTP_cyclohydroI,28,1,1,0
GFRP_int_GTP_cyclohydroI,29,1,1,0
GFRP_int_GTP_cyclohydroI,30,1,1,0
Gelsolin_int_Sec23_helical,1,1,1,0
Gelsolin_int_Sec23_helical,2,0.933,1,-0.067
Gelsolin_int_Sec23_helical,3,0.997,0.986,0.011
Gelsolin_int_Sec23_helical,4,1,1,0
Gelsolin_int_Sec23_helical,5,1,0.984,0.016
Gelsolin_int_Sec23_helical,6,1,0.984,0.016
Gelsolin_int_Sec23_helical,7,1,0.984,0.016
Gelsolin_int_Sec23_helical,8,1,1,0
Gelsolin_int_Sec23_helical,9,0.988,1,-0.012
Gelsolin_int_Sec23_helical,10,0.969,1,-0.031
Gelsolin_int_Sec23_helical,11,1,1,0
Gelsolin_int_Sec23_helical,12,1,1,0
Gelsolin_int_Sec23_helical,13,1,1,0
Gelsolin_int_Sec23_helical,14,1,1,0
Gelsolin_int_Sec23_helical,15,1,1,0
Gelsolin_int_Sec23_helical,16,1,0.889,0.111
Gelsolin_int_Sec23_helical,17,1,1,0
Gelsolin_int_Sec23_helical,18,0.959,1,-0.041
Gelsolin_int_Sec23_helical,19,1,1,0
Gelsolin_int_Sec23_helical,20,1,1,0
Gelsolin_int_Sec23_helical,21,1,1,0
MHC_II_alpha_int_V-set,1,1,1,0
MHC_II_alpha_int_V-set,2,1,0.994,0.006
MHC_II_alpha_int_V-set,3,0.979,0.986,-0.007
MHC_II_alpha_int_V-set,4,0.993,0.955,0.038
MHC_II_alpha_int_V-set,5,1,0.889,0.111
MHC_II_alpha_int_V-set,6,0.959,0.988,-0.029
MHC_II_alpha_int_V-set,7,1,0.5,0.5
MHC_II_alpha_int_V-set,8,1,0.982,0.018
MHC_II_alpha_int_V-set,9,0.938,0.963,-0.025
MHC_II_alpha_int_V-set,10,1,0.972,0.028
MHC_II_alpha_int_V-set,11,1,1,0
MHC_II_alpha_int_V-set,12,1,1,0
MHC_II_alpha_int_V-set,13,1,1,0
MHC_II_alpha_int_V-set,14,1,1,0
MHC_II_alpha_int_V-set,15,0.99,1,-0.01
MHC_II_alpha_int_V-set,16,1,1,0
MHC_II_alpha_int_V-set,17,1,1,0
MHC_II_alpha_int_V-set,18,1,1,0
MHC_II_alpha_int_V-set,19,1,1,0
MHC_II_alpha_int_V-set,20,1,1,0
MHC_II_alpha_int_V-set,21,1,1,0
MHC_II_alpha_int_V-set,22,1,1,0
MHC_II_alpha_int_V-set,23,1,1,0
MHC_II_alpha_int_V-set,24,1,1,0
MHC_II_alpha_int_V-set,25,1,0.964,0.036
MHC_II_alpha_int_V-set,26,1,0.96,0.04
MHC_II_alpha_int_V-set,27,0.714,0.816,-0.102
MHC_II_alpha_int_V-set,28,1,1,0
MHC_II_alpha_int_V-set,29,1,0.964,0.036
MHC_II_alpha_int_V-set,30,0.75,1,-0.25
MHC_II_alpha_int_V-set,31,0.99,1,-0.01
MHC_II_alpha_int_V-set,32,1,0.993,0.007
MHC_II_alpha_int_V-set,33,1,0.974,0.026
MHC_II_alpha_int_V-set,34,1,1,0
MHC_II_alpha_int_V-set,35,1,1,0
MHC_II_alpha_int_V-set,36,1,1,0
MHC_II_alpha_int_V-set,37,0.99,1,-0.01
MHC_II_alpha_int_V-set,38,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,1,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,2,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,3,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,4,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,5,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,6,0.889,1,-0.111
Ribosomal_L28_int_Ribosomal_L9_N,7,0.984,1,-0.016
Ribosomal_L28_int_Ribosomal_L9_N,8,0.963,0.914,0.049
Ribosomal_L28_int_Ribosomal_L9_N,9,1,0.889,0.111
Ribosomal_L28_int_Ribosomal_L9_N,10,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,11,0.847,0.882,-0.035
Ribosomal_L28_int_Ribosomal_L9_N,12,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,13,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,14,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,15,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,16,0.959,1,-0.041
Ribosomal_L28_int_Ribosomal_L9_N,17,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,18,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,19,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,20,1,0.951,0.049
Ribosomal_L28_int_Ribosomal_L9_N,21,0.938,0.901,0.037
Ribosomal_L28_int_Ribosomal_L9_N,22,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,23,0.975,0.926,0.049
Ribosomal_L28_int_Ribosomal_L9_N,24,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,25,1,1,0
Ribosomal_L28_int_Ribosomal_L9_N,26,0.953,0.984,-0.031
Ribosomal_L28_int_Ribosomal_L9_N,27,1,1,0
Rieske_int_V-set,1,1,1,0
Rieske_int_V-set,2,1,1,0
Rieske_int_V-set,3,1,1,0
Rieske_int_V-set,4,1,1,0
Rieske_int_V-set,5,0.973,1,-0.027
Rieske_int_V-set,6,1,1,0
Rieske_int_V-set,7,1,1,0
Rieske_int_V-set,8,1,1,0
Rieske_int_V-set,9,1,1,0
Rieske_int_V-set,10,1,1,0
Rieske_int_V-set,11,1,1,0
Rieske_int_V-set,12,1,1,0
Rieske_int_V-set,13,1,1,0
Rieske_int_V-set,14,1,1,0
Rieske_int_V-set,15,0.968,0.998,-0.03
Rieske_int_V-set,16,1,1,0
Rieske_int_V-set,17,1,1,0
Rieske_int_V-set,18,1,1,0
Rieske_int_V-set,19,1,1,0
Rieske_int_V-set,20,1,1,0
TetR_C_2_int_TetR_N,1,1,1,0
TetR_C_2_int_TetR_N,2,0.971,0.964,0.007
TetR_C_2_int_TetR_N,3,1,0.884,0.116
TetR_C_2_int_TetR_N,4,0.91,1,-0.09
TetR_C_2_int_TetR_N,5,0.964,0.977,-0.013
TetR_C_2_int_TetR_N,6,0.964,1,-0.036
TetR_C_2_int_TetR_N,7,0.914,1,-0.086
TetR_C_2_int_TetR_N,8,1,1,0
TetR_C_2_int_TetR_N,9,0.926,1,-0.074
TetR_C_2_int_TetR_N,10,1,0.983,0.017
TetR_C_2_int_TetR_N,11,1,1,0
TetR_C_2_int_TetR_N,12,1,1,0
TetR_C_2_int_TetR_N,13,1,0.995,0.005
TetR_C_2_int_TetR_N,14,0.952,0.95,0.002
TetR_C_2_int_TetR_N,15,1,1,0
TetR_C_2_int_TetR_N,16,1,1,0
TetR_C_2_int_TetR_N,17,0.921,1,-0.079
TetR_C_2_int_TetR_N,18,0.958,0.951,0.007
TetR_C_2_int_TetR_N,19,0.91,0.9,0.01
TetR_C_2_int_TetR_N,20,1,1,0
TetR_C_2_int_TetR_N,21,0.996,0.972,0.024
TetR_C_2_int_TetR_N,22,0.949,0.855,0.094
TetR_C_2_int_TetR_N,23,0.983,0.981,0.002
TetR_C_2_int_TetR_N,24,0.992,0.989,0.003
TetR_C_2_int_TetR_N,25,1,0.942,0.058
TetR_C_2_int_TetR_N,26,1,1,0
TetR_C_2_int_TetR_N,27,0.964,0.996,-0.032
TetR_C_2_int_TetR_N,28,0.888,0.991,-0.103
TetR_C_2_int_TetR_N,29,1,1,0
TetR_C_2_int_TetR_N,30,1,1,0
TetR_C_2_int_TetR_N,31,0.996,0.978,0.018
TetR_C_2_int_TetR_N,32,0.999,0.996,0.003
TetR_C_2_int_TetR_N,33,0.963,1,-0.037
TetR_C_2_int_TetR_N,34,1,1,0
TetR_C_2_int_TetR_N,35,0.964,1,-0.036
TetR_C_2_int_TetR_N,36,1,0.989,0.011
TetR_C_2_int_TetR_N,37,1,0.939,0.061
TetR_C_2_int_TetR_N,38,1,1,0
TetR_C_2_int_TetR_N,39,0.982,0.995,-0.013
UreE_C_int_UreE_N,1,0.967,0.959,0.008
UreE_C_int_UreE_N,2,0.978,0.988,-0.01
UreE_C_int_UreE_N,3,1,1,0
UreE_C_int_UreE_N,4,0.882,0.875,0.007
UreE_C_int_UreE_N,5,1,1,0
UreE_C_int_UreE_N,6,0.891,0.738,0.153
UreE_C_int_UreE_N,7,0.796,0.898,-0.102
UreE_C_int_UreE_N,8,0.896,0.882,0.014
UreE_C_int_UreE_N,9,0.949,0.995,-0.046
UreE_C_int_UreE_N,10,1,1,0
UreE_C_int_UreE_N,11,0.903,0.969,-0.066
UreE_C_int_UreE_N,12,0.98,0.964,0.016
UreE_C_int_UreE_N,13,1,1,0
UreE_C_int_UreE_N,14,1,1,0
UreE_C_int_UreE_N,15,1,1,0
UreE_C_int_UreE_N,16,1,1,0
UreE_C_int_UreE_N,17,0.991,0.973,0.018
UreE_C_int_UreE_N,18,0.995,1,-0.005
UreE_C_int_UreE_N,19,0.99,1,-0.01
UreE_C_int_UreE_N,20,1,1,0
UreE_C_int_UreE_N,21,1,1,0
UreE_C_int_UreE_N,22,1,1,0
UreE_C_int_UreE_N,23,1,0.959,0.041
UreE_C_int_UreE_N,24,1,1,0
UreE_C_int_UreE_N,25,1,1,0
UreE_C_int_UreE_N,26,0.929,0.996,-0.067
UreE_C_int_UreE_N,27,1,1,0
UreE_C_int_UreE_N,28,1,0.984,0.016
efhand_int_Troponin,1,0.82,0.91,-0.09
efhand_int_Troponin,2,1,1,0
efhand_int_Troponin,3,1,0.976,0.024
efhand_int_Troponin,4,0.99,0.96,0.03
efhand_int_Troponin,5,0.998,0.984,0.014
efhand_int_Troponin,6,0.969,0.993,-0.024
efhand_int_Troponin,7,0.988,1,-0.012
efhand_int_Troponin,8,0.998,1,-0.002
efhand_int_Troponin,9,0.983,0.955,0.028
efhand_int_Troponin,10,1,0.959,0.041
efhand_int_Troponin,11,0.613,0.656,-0.043
efhand_int_Troponin,12,0.942,1,-0.058
efhand_int_Troponin,13,0.972,0.972,0
efhand_int_Troponin,14,0.984,0.992,-0.008
efhand_int_Troponin,15,0.728,0.926,-0.198
efhand_int_Troponin,16,0.914,0.938,-0.024
efhand_int_Troponin,17,1,1,0
efhand_int_Troponin,18,0.96,1,-0.04
efhand_int_Troponin,19,1,1,0
efhand_int_Troponin,20,1,0.997,0.003
efhand_int_Troponin,21,0.974,0.995,-0.021
efhand_int_Troponin,22,0.857,0.898,-0.041
efhand_int_Troponin,23,1,1,0
efhand_int_Troponin,24,1,1,0
efhand_int_Troponin,25,1,0.898,0.102
efhand_int_Troponin,26,1,1,0
efhand_int_Troponin,27,1,1,0
efhand_int_Troponin,28,1,0.898,0.102
efhand_int_Troponin,29,1,1,0
efhand_int_Troponin,30,1,1,0
efhand_int_Troponin,31,0.878,0.898,-0.02
efhand_int_Troponin,32,1,1,0
efhand_int_Troponin,33,1,1,0
efhand_int_Troponin,34,1,0.898,0.102
efhand_int_Troponin,35,0.955,1,-0.045
efhand_int_Troponin,36,1,1,0
efhand_int_Troponin,37,1,0.878,0.122
efhand_int_Troponin,38,1,1,0
efhand_int_Troponin,39,1,1,0
efhand_int_Troponin,40,1,0.878,0.122
efhand_int_Troponin,41,1,1,0
efhand_int_Troponin,42,0.934,1,-0.066
efhand_int_Troponin,43,1,0.898,0.102
efhand_int_Troponin,44,0.96,1,-0.04
efhand_int_Troponin,45,0.959,1,-0.041
Desulfoferrod_N_int_Desulfoferrodox,0.987837838,0.998486486,-0.010648649,
FGF_int_I-set,0.958418182,0.963454545,-0.005036364,
E2_bind_int_ThiF,0.994846154,0.999692308,-0.004846154,
TetR_C_2_int_TetR_N,0.976051282,0.980179487,-0.004128205,
EpoR_lig-bind_int_fn3,0.977129032,0.980935484,-0.003806452,
DrsE_int_DsrH,0.960285714,0.963821429,-0.003535714,
Activin_recp_int_TGF_beta,0.970276596,0.973638298,-0.003361702,
Rieske_int_V-set,0.99705,0.9999,-0.00285,
UreE_C_int_UreE_N,0.969535714,0.970714286,-0.001178571,
GFRP_int_GTP_cyclohydroI,1,1,0,
efhand_int_Troponin,0.963911111,0.963488889,0.000422222,
Gelsolin_int_Sec23_helical,0.992666667,0.991761905,0.000904762,
Ribosomal_L28_int_Ribosomal_L9_N,0.981777778,0.979518519,0.002259259,
MHC_II_alpha_int_V-set,0.981657895,0.971052632,0.010605263,
