DDI,sequence_num,auc,blAUC,diffAUC
PF00167.10_int_PF07679.8,25,0.883,0.913,-0.03
PF00167.10_int_PF07679.8,26,0.966,0.964,0.002
PF00243.10_int_PF00243.10,1,0.862,0.836,0.026
PF00243.10_int_PF00243.10,2,0.861,0.946,-0.085
PF00243.10_int_PF00243.10,3,0.917,0.894,0.023
PF00243.10_int_PF00243.10,4,0.82,0.76,0.06
PF00243.10_int_PF00243.10,7,0.835,0.81,0.025
PF00243.10_int_PF00243.10,8,0.925,0.892,0.033
PF00243.10_int_PF00243.10,12,0.903,0.912,-0.009
PF00254.20_int_PF00254.20,1,0.73,0.732,-0.002
PF00254.20_int_PF00254.20,7,0.934,0.703,0.231
PF00254.20_int_PF00254.20,9,0.655,0.413,0.242
PF00254.20_int_PF00254.20,15,0.406,0.734,-0.328
PF00254.20_int_PF00254.20,16,0.62,0.667,-0.047
PF00254.20_int_PF00254.20,18,0.364,0.835,-0.471
PF00385.16_int_PF00385.16,1,1.0,0.909,0.091
PF00385.16_int_PF00385.16,11,0.82,0.85,-0.03
PF00385.16_int_PF00385.16,13,0.741,0.889,-0.148
PF00385.16_int_PF00385.16,17,0.809,0.83,-0.021
PF00385.16_int_PF00385.16,18,0.903,0.712,0.191
PF00385.16_int_PF00385.16,19,0.803,0.693,0.11
PF00393.11_int_PF00393.11,1,0.792,0.848,-0.056
PF00393.11_int_PF00393.11,2,0.839,0.876,-0.037
PF00393.11_int_PF00393.11,5,0.918,0.891,0.027
PF00393.11_int_PF00393.11,7,0.889,0.889,0.0
PF00393.11_int_PF00393.11,11,0.903,0.904,-0.001
PF00511.9_int_PF00511.9,1,0.981,0.95,0.031
PF00511.9_int_PF00511.9,2,0.983,0.941,0.042
PF00511.9_int_PF00511.9,3,0.984,0.985,-0.001
PF00511.9_int_PF00511.9,7,0.99,0.899,0.091
PF00511.9_int_PF00511.9,9,0.956,0.959,-0.003
PF00511.9_int_PF00511.9,15,0.985,0.992,-0.007
PF00563.12_int_PF00563.12,1,0.512,0.565,-0.053
PF00563.12_int_PF00563.12,2,0.717,0.669,0.048
PF00563.12_int_PF00563.12,4,0.383,0.506,-0.123
PF00563.12_int_PF00563.12,9,0.119,0.323,-0.204
PF00617.11_int_PF00618.12,1,0.996,0.894,0.102
PF00617.11_int_PF00618.12,11,0.961,0.946,0.015
PF00711.11_int_PF00711.11,1,0.472,0.25,0.222
PF00711.11_int_PF00711.11,23,0.75,0.51,0.24
PF00712.11_int_PF02768.7,1,0.994,0.995,-0.001
PF00712.11_int_PF02768.7,7,1.0,0.99,0.01
PF00712.11_int_PF02768.7,9,1.0,1.0,0.0
PF00782.12_int_PF00782.12,1,1.0,0.917,0.083
PF00782.12_int_PF00782.12,2,0.917,0.888,0.029
PF00782.12_int_PF00782.12,3,0.273,0.545,-0.272
PF00782.12_int_PF00782.12,4,0.523,0.555,-0.032
PF00782.12_int_PF00782.12,7,0.842,0.811,0.031
PF00782.12_int_PF00782.12,11,0.669,0.754,-0.085
PF00782.12_int_PF00782.12,13,0.929,0.684,0.245
PF00782.12_int_PF00782.12,18,0.81,0.62,0.19
PF00028.9_int_PF00028.9,0.726,0.8265,-0.1005
PF00563.12_int_PF00563.12,0.43275,0.51575,-0.083
PF00254.20_int_PF00254.20,0.618166666667,0.680666666667,-0.0625
