DDI,no.,FisherMode,method,isTest,recall,precision,accuracy
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,DL_S_new_contraction,True,0.83333333333333337,1.0,0.89130434782608692
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,DL_S_new_sparsity,False,1.0,0.9932432432432432,0.99596774193548387
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,DL_S_new_sparsity,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,l2_reg,False,1.0,0.592741935483871,0.592741935483871
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,l2_reg,True,1.0,0.65217391304347827,0.65217391304347827
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,DL_S_new_Drop_out,False,0.98639455782312924,0.99315068493150682,0.98790322580645162
Alpha-amylase_C_int_TIG,2,FisherM1ONLY,DL_S_new_Drop_out,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,SVM_RBF,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,SVM_RBF,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_xy,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_xy,True,1.0,0.96875,0.97916666666666663
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,Sda_xy_with_first,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,Sda_xy_with_first,True,1.0,0.96875,0.97916666666666663
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,Sda_new,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,Sda_new,True,1.0,0.96875,0.97916666666666663
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,SAE_SVM,True,1.0,0.96875,0.97916666666666663
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,SAE_SVM,False,1.0,0.99613899613899615,0.99757281553398058
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL,True,1.0,0.96875,0.97916666666666663
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_old,False,0.96103896103896103,0.98666666666666669,0.96761133603238869
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_old,True,0.967741935483871,1.0,0.97916666666666663
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S,False,0.99350649350649356,0.99350649350649356,0.9919028340080972
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S,True,1.0,0.96875,0.97916666666666663
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S_new,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S_new,True,1.0,0.96875,0.97916666666666663
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S_new_contraction,False,0.7857142857142857,0.98373983739837401,0.8582995951417004
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S_new_contraction,True,0.83870967741935487,1.0,0.89583333333333337
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S_new_sparsity,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S_new_sparsity,True,1.0,0.96875,0.97916666666666663
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,l2_reg,False,1.0,0.62348178137651822,0.62348178137651822
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,l2_reg,True,1.0,0.64583333333333337,0.64583333333333337
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S_new_Drop_out,False,0.98051948051948057,1.0,0.98785425101214575
Alpha-amylase_C_int_TIG,3,FisherM1ONLY,DL_S_new_Drop_out,True,1.0,0.96875,0.97916666666666663
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,SVM_RBF,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,SVM_RBF,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_xy,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_xy,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,Sda_xy_with_first,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,Sda_xy_with_first,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,Sda_new,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,Sda_new,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,SAE_SVM,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,SAE_SVM,False,1.0,0.99615384615384617,0.99758454106280192
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL,False,0.98675496688741726,1.0,0.99193548387096775
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_old,False,0.98013245033112584,0.82222222222222219,0.8588709677419355
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_old,True,1.0,0.83333333333333337,0.86956521739130432
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S,False,0.99337748344370858,0.99337748344370858,0.99193548387096775
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S_new,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S_new,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S_new_contraction,False,0.78807947019867552,0.9916666666666667,0.86693548387096775
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S_new_contraction,True,0.83333333333333337,1.0,0.89130434782608692
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S_new_sparsity,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S_new_sparsity,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,l2_reg,False,1.0,0.6088709677419355,0.6088709677419355
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,l2_reg,True,1.0,0.65217391304347827,0.65217391304347827
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S_new_Drop_out,False,0.99337748344370858,0.99337748344370858,0.99193548387096775
Alpha-amylase_C_int_TIG,4,FisherM1ONLY,DL_S_new_Drop_out,True,1.0,0.967741935483871,0.97826086956521741
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,SVM_RBF,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,SVM_RBF,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_xy,False,1.0,0.99363057324840764,0.99591836734693873
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_xy,True,1.0,0.96875,0.98039215686274506
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,Sda_xy_with_first,False,1.0,0.99363057324840764,0.99591836734693873
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,Sda_xy_with_first,True,1.0,0.96875,0.98039215686274506
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,Sda_new,False,0.99358974358974361,0.99358974358974361,0.99183673469387756
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,Sda_new,True,0.967741935483871,0.967741935483871,0.96078431372549022
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,SAE_SVM,True,0.93548387096774188,1.0,0.96078431372549022
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,SAE_SVM,False,0.99224806201550386,1.0,0.99511002444987773
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL,False,1.0,0.98734177215189878,0.99183673469387756
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL,True,1.0,0.93939393939393945,0.96078431372549022
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_old,False,0.99358974358974361,0.82010582010582012,0.8571428571428571
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_old,True,0.967741935483871,0.81081081081081086,0.84313725490196079
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S,False,1.0,0.98113207547169812,0.98775510204081629
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S,True,1.0,0.91176470588235292,0.94117647058823528
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S_new,False,0.99358974358974361,0.99358974358974361,0.99183673469387756
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S_new,True,0.967741935483871,0.967741935483871,0.96078431372549022
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S_new_contraction,False,0.88461538461538458,0.98571428571428577,0.91836734693877553
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S_new_contraction,True,0.74193548387096775,1.0,0.84313725490196079
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S_new_sparsity,False,0.99358974358974361,0.99358974358974361,0.99183673469387756
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S_new_sparsity,True,0.967741935483871,0.967741935483871,0.96078431372549022
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,l2_reg,False,1.0,0.63673469387755099,0.63673469387755099
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,l2_reg,True,1.0,0.60784313725490191,0.60784313725490191
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S_new_Drop_out,False,0.98717948717948723,0.99354838709677418,0.98775510204081629
Alpha-amylase_C_int_TIG,5,FisherM1ONLY,DL_S_new_Drop_out,True,0.93548387096774188,1.0,0.96078431372549022
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,SVM_RBF,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,SVM_RBF,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_xy,False,1.0,0.99342105263157898,0.99593495934959353
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_xy,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,Sda_xy_with_first,False,1.0,0.99342105263157898,0.99593495934959353
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,Sda_xy_with_first,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,Sda_new,False,1.0,0.99342105263157898,0.99593495934959353
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,Sda_new,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,SAE_SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,SAE_SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL,False,0.98675496688741726,1.0,0.99186991869918695
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_old,False,0.98013245033112584,0.9673202614379085,0.96747967479674801
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_old,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S,False,0.99337748344370858,0.99337748344370858,0.99186991869918695
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S_new,False,0.99337748344370858,0.99337748344370858,0.99186991869918695
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S_new,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S_new_contraction,False,0.82781456953642385,1.0,0.89430894308943087
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S_new_contraction,True,0.80645161290322576,1.0,0.88
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S_new_sparsity,False,1.0,0.99342105263157898,0.99593495934959353
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S_new_sparsity,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,l2_reg,False,1.0,0.61382113821138207,0.61382113821138207
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,l2_reg,True,1.0,0.62,0.62
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S_new_Drop_out,False,0.99337748344370858,0.99337748344370858,0.99186991869918695
Alpha-amylase_C_int_TIG,6,FisherM1ONLY,DL_S_new_Drop_out,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,SVM_RBF,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,SVM_RBF,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_xy,False,1.0,0.98701298701298701,0.9919028340080972
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_xy,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,Sda_xy_with_first,False,1.0,0.98701298701298701,0.9919028340080972
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,Sda_xy_with_first,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,Sda_new,False,1.0,0.98701298701298701,0.9919028340080972
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,Sda_new,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,SAE_SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,SAE_SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL,False,0.99342105263157898,1.0,0.99595141700404854
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_old,False,0.96052631578947367,0.88484848484848488,0.89878542510121462
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_old,True,1.0,0.90909090909090906,0.9375
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S,False,0.97368421052631582,0.99328859060402686,0.97975708502024295
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S,True,0.96666666666666667,1.0,0.97916666666666663
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S_new,False,1.0,0.98701298701298701,0.9919028340080972
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S_new,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S_new_contraction,False,1.0,0.61538461538461542,0.61538461538461542
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S_new_contraction,True,1.0,0.625,0.625
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S_new_sparsity,False,1.0,0.98064516129032253,0.98785425101214575
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S_new_sparsity,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,l2_reg,False,1.0,0.61538461538461542,0.61538461538461542
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,l2_reg,True,1.0,0.625,0.625
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S_new_Drop_out,False,1.0,0.98064516129032253,0.98785425101214575
Alpha-amylase_C_int_TIG,7,FisherM1ONLY,DL_S_new_Drop_out,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,SVM_RBF,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,SVM_RBF,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_xy,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_xy,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,Sda_xy_with_first,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,Sda_xy_with_first,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,Sda_new,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,Sda_new,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,SAE_SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,SAE_SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL,False,0.99367088607594933,0.99367088607594933,0.99206349206349209
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL,True,1.0,1.0,1.0
