DDI,sequence_num,auc,blAUC,diffAUC,
PF00167.10_int_PF07679.8,7,0.945,0.888,0.057,1
PF00167.10_int_PF07679.8,11,0.966,0.944,0.022,1
PF00167.10_int_PF07679.8,24,0.968,0.98,-0.012,-1
PF00167.10_int_PF07679.8,25,0.893,0.949,-0.056,-1
PF00167.10_int_PF07679.8,26,0.979,0.867,0.112,1
PF00243.10_int_PF00243.10,1,0.879,0.847,0.032,1
PF00243.10_int_PF00243.10,2,0.922,0.863,0.059,1
PF00243.10_int_PF00243.10,3,0.875,0.926,-0.051,-1
PF00243.10_int_PF00243.10,4,0.54,0.88,-0.34,-1
PF00243.10_int_PF00243.10,7,0.854,0.803,0.051,1
PF00243.10_int_PF00243.10,8,0.906,0.917,-0.011,-1
PF00243.10_int_PF00243.10,12,0.928,0.908,0.02,1
PF00254.20_int_PF00254.20,1,0.919,0.836,0.083,1
PF00254.20_int_PF00254.20,7,0.82,0.945,-0.125,-1
PF00254.20_int_PF00254.20,9,0.581,0.808,-0.227,-1
PF00254.20_int_PF00254.20,15,0.797,0.797,0,0
PF00254.20_int_PF00254.20,16,0.675,0.745,-0.07,-1
PF00254.20_int_PF00254.20,18,0.826,1,-0.174,-1
PF00385.16_int_PF00385.16,1,1,1,0,0
PF00385.16_int_PF00385.16,11,0.97,0.99,-0.02,-1
PF00385.16_int_PF00385.16,13,0.889,0.988,-0.099,-1
PF00385.16_int_PF00385.16,17,0.898,0.901,-0.003,-1
PF00385.16_int_PF00385.16,18,0.881,0.856,0.025,1
PF00385.16_int_PF00385.16,19,0.936,0.911,0.025,1
PF00393.11_int_PF00393.11,1,0.841,0.806,0.035,1
PF00393.11_int_PF00393.11,2,0.86,0.858,0.002,1
PF00393.11_int_PF00393.11,5,0.921,0.901,0.02,1
PF00393.11_int_PF00393.11,7,0.914,0.895,0.019,1
PF00393.11_int_PF00393.11,11,0.937,0.895,0.042,1
PF00511.9_int_PF00511.9,1,0.999,0.963,0.036,1
PF00511.9_int_PF00511.9,2,0.989,0.999,-0.01,-1
PF00511.9_int_PF00511.9,3,0.999,0.987,0.012,1
PF00511.9_int_PF00511.9,7,1,0.965,0.035,1
PF00511.9_int_PF00511.9,9,0.926,0.947,-0.021,-1
PF00511.9_int_PF00511.9,15,0.949,0.987,-0.038,-1
PF00563.12_int_PF00563.12,1,0.62,0.433,0.187,1
PF00563.12_int_PF00563.12,2,0.661,0.454,0.207,1
PF00563.12_int_PF00563.12,4,0.64,0.595,0.045,1
PF00563.12_int_PF00563.12,9,0.264,0.052,0.212,1
PF00617.11_int_PF00618.12,1,0.986,0.993,-0.007,-1
PF00617.11_int_PF00618.12,11,0.952,0.975,-0.023,-1
PF00711.11_int_PF00711.11,1,0.778,0.333,0.445,1
PF00711.11_int_PF00711.11,23,0.84,0.2,0.64,1
PF00712.11_int_PF02768.7,1,0.99,0.997,-0.007,-1
PF00712.11_int_PF02768.7,7,0.995,1,-0.005,-1
PF00712.11_int_PF02768.7,9,1,1,0,0
PF00782.12_int_PF00782.12,1,1,1,0,0
PF00782.12_int_PF00782.12,2,0.97,0.982,-0.012,-1
PF00782.12_int_PF00782.12,3,0.455,0.591,-0.136,-1
PF00782.12_int_PF00782.12,4,0.898,0.859,0.039,1
PF00782.12_int_PF00782.12,7,0.852,0.867,-0.015,-1
PF00782.12_int_PF00782.12,11,0.904,0.98,-0.076,-1
PF00782.12_int_PF00782.12,13,0.893,0.982,-0.089,-1
PF00782.12_int_PF00782.12,18,0.893,0.826,0.067,1
PF00034.13_int_PF00141.15,0.8725,0.9675,-0.095,,3
PF00254.20_int_PF00254.20,0.769666667,0.855166667,-0.0855,,
