DDI,no.,FisherMode,method,isTest,accuracy,precision,recall
6PGD_int_NAD_binding_2,1,FisherM1,SVM,True,0.6470588235294118,0.53658536585365857,0.54411764705882348
6PGD_int_NAD_binding_2,1,FisherM1,SVM,False,0.58873239436619718,0.55882352941176472,0.56197183098591552
6PGD_int_NAD_binding_2,1,FisherM1,DL,False,0.89169675090252709,0.91821561338289959,0.90845070422535212
6PGD_int_NAD_binding_2,1,FisherM1,DL,True,0.38235294117647056,0.61904761904761907,0.57352941176470584
6PGD_int_NAD_binding_2,1,FisherM1,DL_U,False,0.87003610108303253,0.93050193050193053,0.90492957746478875
6PGD_int_NAD_binding_2,1,FisherM1,DL_U,True,0.41176470588235292,0.63636363636363635,0.58823529411764708
6PGD_int_NAD_binding_2,2,FisherM1,SVM,True,0.5,0.50769230769230766,0.50757575757575757
6PGD_int_NAD_binding_2,2,FisherM1,SVM,False,0.55769230769230771,0.5509499136442142,0.55157342657342656
6PGD_int_NAD_binding_2,2,FisherM1,DL,False,0.94235033259423506,0.91006423982869367,0.92568306010928958
6PGD_int_NAD_binding_2,2,FisherM1,DL,True,0.40909090909090912,0.67500000000000004,0.60606060606060608
6PGD_int_NAD_binding_2,2,FisherM1,DL_U,False,0.95565410199556544,0.92887931034482762,0.94207650273224042
6PGD_int_NAD_binding_2,2,FisherM1,DL_U,True,0.37878787878787878,0.6097560975609756,0.56818181818181823
6PGD_int_NAD_binding_2,3,FisherM1,SVM,True,0.48275862068965519,0.52830188679245282,0.52586206896551724
6PGD_int_NAD_binding_2,3,FisherM1,SVM,False,0.55531453362255967,0.53444676409185798,0.53579175704989157
6PGD_int_NAD_binding_2,3,FisherM1,DL,False,0.88674033149171272,0.90677966101694918,0.89959294436906379
6PGD_int_NAD_binding_2,3,FisherM1,DL,True,0.77586206896551724,0.77586206896551724,0.77586206896551724
6PGD_int_NAD_binding_2,3,FisherM1,DL_U,False,0.81491712707182318,0.91049382716049387,0.86974219810040709
6PGD_int_NAD_binding_2,3,FisherM1,DL_U,True,0.74137931034482762,0.78181818181818197,0.76724137931034486
