DDI,sequence_num,auc,blAUC,diffAUC
PF00167.10_int_PF07679.8,25,0.893,0.964,-0.071
PF00167.10_int_PF07679.8,26,0.979,0.978,0.001
PF00243.10_int_PF00243.10,1,0.879,0.858,0.021
PF00243.10_int_PF00243.10,2,0.922,0.864,0.058
PF00243.10_int_PF00243.10,3,0.875,0.895,-0.02
PF00243.10_int_PF00243.10,4,0.54,0.87,-0.33
PF00243.10_int_PF00243.10,7,0.854,0.813,0.041
PF00243.10_int_PF00243.10,8,0.906,0.939,-0.033
PF00243.10_int_PF00243.10,12,0.928,0.912,0.016
PF00254.20_int_PF00254.20,1,0.919,0.936,-0.017
PF00254.20_int_PF00254.20,7,0.82,0.867,-0.047
PF00254.20_int_PF00254.20,9,0.581,0.785,-0.204
PF00254.20_int_PF00254.20,15,0.797,0.656,0.141
PF00254.20_int_PF00254.20,16,0.675,0.74,-0.065
PF00254.20_int_PF00254.20,18,0.826,0.934,-0.108
PF00385.16_int_PF00385.16,1,1.0,0.992,0.008
PF00385.16_int_PF00385.16,11,0.97,1.0,-0.03
PF00385.16_int_PF00385.16,13,0.889,0.889,0.0
PF00385.16_int_PF00385.16,17,0.898,0.941,-0.043
PF00385.16_int_PF00385.16,18,0.881,0.875,0.006
PF00385.16_int_PF00385.16,19,0.936,0.889,0.047
PF00393.11_int_PF00393.11,1,0.841,0.706,0.135
PF00393.11_int_PF00393.11,2,0.86,0.843,0.017
PF00393.11_int_PF00393.11,5,0.921,0.783,0.138
PF00393.11_int_PF00393.11,7,0.914,0.828,0.086
PF00393.11_int_PF00393.11,11,0.937,0.851,0.086
PF00511.9_int_PF00511.9,1,0.999,0.932,0.067
PF00511.9_int_PF00511.9,2,0.989,0.994,-0.005
PF00511.9_int_PF00511.9,3,0.999,0.993,0.006
PF00511.9_int_PF00511.9,7,1.0,0.955,0.045
PF00511.9_int_PF00511.9,9,0.926,0.962,-0.036
PF00511.9_int_PF00511.9,15,0.949,0.971,-0.022
PF00563.12_int_PF00563.12,1,0.62,0.542,0.078
PF00563.12_int_PF00563.12,2,0.661,0.408,0.253
PF00563.12_int_PF00563.12,4,0.64,0.517,0.123
PF00563.12_int_PF00563.12,9,0.264,0.428,-0.164
PF00617.11_int_PF00618.12,1,0.986,1.0,-0.014
PF00617.11_int_PF00618.12,11,0.952,0.995,-0.043
PF00711.11_int_PF00711.11,1,0.778,0.667,0.111
PF00711.11_int_PF00711.11,23,0.84,0.82,0.02
PF00712.11_int_PF02768.7,1,0.99,0.994,-0.004
PF00712.11_int_PF02768.7,7,0.995,1.0,-0.005
PF00712.11_int_PF02768.7,9,1.0,0.986,0.014
PF00782.12_int_PF00782.12,1,1.0,1.0,0.0
PF00782.12_int_PF00782.12,2,0.97,0.917,0.053
PF00782.12_int_PF00782.12,3,0.455,0.091,0.364
PF00782.12_int_PF00782.12,4,0.898,0.949,-0.051
PF00782.12_int_PF00782.12,7,0.852,0.837,0.015
PF00782.12_int_PF00782.12,11,0.904,0.9,0.004
PF00782.12_int_PF00782.12,13,0.893,0.996,-0.103
PF00782.12_int_PF00782.12,18,0.893,0.884,0.009
PF00034.13_int_PF00141.15,0.8725,0.98,-0.1075
PF00254.20_int_PF00254.20,0.769666666667,0.819666666667,-0.05
PF00104.22_int_PF08832.2,0.92175,0.9615,-0.03975
PF00243.10_int_PF00243.10,0.843428571429,0.878714285714,-0.0352857142857
PF00074.12_int_PF07686.9,0.898333333333,0.933,-0.0346666666667
PF00617.11_int_PF00618.12,0.969,0.9975,-0.0285
PF00033.11_int_PF00033.11,0.966,0.990333333333,-0.0243333333333
PF00081.14_int_PF00081.14,0.944125,0.9575,-0.013375
PF00025.13_int_PF00025.13,0.915666666667,0.926333333333,-0.0106666666667
PF00051.10_int_PF00051.10,0.88425,0.891,-0.00675
