no.,method,isTest,recall,precision,accuracy
1,SVM,True,0.51385809312638586,0.52491506228765572,0.52173913043478259
1,SVM,False,0.60630332578791568,0.61770445272307961,0.6152639832723471
1,SVM_RBF,True,0.39246119733924612,0.89506953223767383,0.67140468227424754
1,SVM_RBF,False,1.0,1.0,1.0
1,SVM_POLY,True,0.57871396895787142,0.89922480620155054,0.75557413600891865
1,SVM_POLY,False,0.74194671774333976,0.99069983724715183,0.86739850148109432
1,Log,True,0.53658536585365857,0.54199328107502798,0.53901895206243033
1,Log,False,0.68883858610482329,0.66767932489451476,0.67276529012023001
1,DL,True,0.87804878048780488,0.89340101522842641,0.88600891861761422
1,DL,False,0.99965174995646877,1.0,0.99982575361561243
1,SAE_SVM,True,0.67017738359201773,0.67883211678832112,0.67474916387959871
1,SAE_SVM,False,0.68152533519066694,0.67833622183708842,0.67895103676598711
1,SAE_SVM_RBF,True,0.78603104212860309,0.77191072400653238,0.77564102564102566
1,SAE_SVM_RBF,False,0.78843809855476232,0.78747826086956507,0.78768078062380209
1,SAE_SVM_POLY,True,0.73558758314855877,0.61435185185185182,0.63489409141583053
1,SAE_SVM_POLY,False,0.74734459341807413,0.60939940366321166,0.63390834640181215
1,DL_S,True,0.89412416851441245,0.90465507571508696,0.899386845039019
1,DL_S,False,0.99965174995646877,0.99982584465343083,0.99973863042341871
1,SAE_S_SVM,True,0.61917960088691792,0.56671740233384071,0.57051282051282048
1,SAE_S_SVM,False,0.65418770677346338,0.58593262632563947,0.59566126502875061
1,SAE_S_SVM_RBF,True,0.82926829268292679,0.77392653905845843,0.7923634336677815
1,SAE_S_SVM_RBF,False,0.82674560334320046,0.77759580740255496,0.7949991287680781
1,SAE_S_SVM_POLY,True,0.76829268292682928,0.61517976031957389,0.64186176142697882
1,SAE_S_SVM_POLY,False,0.76632422079052764,0.60024549918166936,0.62772259975605504
2,SVM,True,0.5359147025813692,0.52850027670171551,0.53322212955240478
2,SVM,False,0.60059274755927472,0.60951875442321302,0.60917542792597101
2,SVM_RBF,True,0.33333333333333331,0.90687022900763359,0.65276619405059777
2,SVM_RBF,False,1.0,1.0,1.0
2,SVM_POLY,True,0.6290684624017957,0.90257648953301117,0.78259660828468169
2,SVM_POLY,False,0.79463040446304045,0.98636658731876214,0.89217134416543575
2,Log,True,0.54264870931537601,0.53219592735277932,0.53711426188490408
2,Log,False,0.68654114365411434,0.6606274115081362,0.66799895733773573
2,DL,True,0.87205387205387208,0.88496583143507956,0.88045593550180701
2,DL,False,1.0,0.9994772608468373,0.99973933443392127
2,SAE_SVM,True,0.67003367003366998,0.65894039735099341,0.66472060050041704
2,SAE_SVM,False,0.68706415620641559,0.67621825669183255,0.68007646189938309
