no.,number_of_training,method,isTest,recall,precision,accuracy
1,10000,SVM,True,0.51782775644541967,0.52855543113101899,0.52458563535911606
1,10000,SVM,False,0.61003277035543235,0.61703212646608874,0.61887499999999995
1,10000,SVM_RBF,True,0.25452550740537577,0.94117647058823528,0.61657458563535916
1,10000,SVM_RBF,False,1.0,1.0,1.0
1,10000,SVM_POLY,True,0.50466264399341743,0.88546679499518766,0.71767955801104977
1,10000,SVM_POLY,False,0.70733551802369554,0.99503546099290785,0.85312500000000002
1,10000,Log,True,0.55622600109709275,0.55319148936170215,0.55027624309392265
1,10000,Log,False,0.70254600453743388,0.68797827696864977,0.69450000000000001
1,10000,DL,True,0.83653318705430613,0.84958217270194991,0.84309392265193372
1,10000,DL,False,0.99949584068565667,0.99924395161290325,0.99937500000000001
1,10000,SAE_SVM,True,0.64454196379594075,0.6520532741398446,0.64779005524861877
1,10000,SAE_SVM,False,0.65944038316107889,0.66700662927078025,0.667875
1,10000,SAE_SVM_RBF,True,0.86615469007131107,0.88064696040156165,0.87348066298342542
1,10000,SAE_SVM_RBF,False,0.98790017645576,0.9826980942828486,0.985375
1,10000,SAE_SVM_POLY,True,0.84530992868897425,0.87012987012987009,0.85856353591160217
1,10000,SAE_SVM_POLY,False,0.95185278548021179,0.96424923391215522,0.95862499999999995
1,10000,DL_S,True,0.87438288535381237,0.8724685276409414,0.87237569060773479
1,10000,DL_S,False,0.99949584068565667,0.99974785678265254,0.99962499999999999
1,10000,SAE_S_SVM,True,0.61327482172243553,0.56180904522613062,0.56436464088397786
1,10000,SAE_S_SVM,False,0.6450718427022939,0.5912661737523105,0.60287500000000005
1,10000,SAE_S_SVM_RBF,True,0.8935820076796489,0.89407244785949502,0.89309392265193366
1,10000,SAE_S_SVM_RBF,False,0.98916057474161834,0.98592964824120599,0.98762499999999998
1,10000,SAE_S_SVM_POLY,True,0.88370817334064733,0.8788870703764321,0.88011049723756907
1,10000,SAE_S_SVM_POLY,False,0.96395260902445168,0.9646821392532795,0.96462499999999995
