no.,method,isTest,recall,precision,accuracy
1,SVM,True,0.54626038781163433,0.53850354997269256,0.54083885209713023
1,SVM,False,0.60245547293792145,0.61197962409977169,0.61121172919361799
1,SVM_RBF,True,0.33296398891966761,0.9147640791476408,0.65231788079470199
1,SVM_RBF,False,1.0,1.0,1.0
1,SVM_POLY,True,0.65983379501385042,0.90090771558245086,0.79442604856512145
1,SVM_POLY,False,0.81324572021442154,0.98347971560016734,0.90004312203536008
1,Log,True,0.58559556786703604,0.55456453305351516,0.5593267108167771
1,Log,False,0.68978039080062248,0.66251453246968939,0.67003018542475201
1,DL,True,0.8476454293628809,0.83606557377049184,0.84133554083885209
1,DL,False,0.99965415874113783,0.99965415874113783,0.99965502371711945
1,SAE_SVM,True,0.66260387811634347,0.63923035809727413,0.64569536423841056
1,SAE_SVM,False,0.66781947086287397,0.6575855610420569,0.6608883139284174
1,SAE_SVM_RBF,True,0.81772853185595573,0.81772853185595573,0.81843267108167772
1,SAE_SVM_RBF,False,0.84679232232405321,0.83738030095759231,0.8415696420871065
1,SAE_SVM_POLY,True,0.80664819944598343,0.69765213224724487,0.72958057395143483
1,SAE_SVM_POLY,False,0.79837454608334779,0.69648514104691506,0.72591634325140142
1,DL_S,True,0.88531855955678673,0.89674523007856344,0.89210816777041946
1,DL_S,False,1.0,0.99982710926694329,0.99991375592927989
1,SAE_S_SVM,True,0.62770083102493079,0.56791979949874682,0.57671081677704195
1,SAE_S_SVM,False,0.66332353449766557,0.58888547743322073,0.60112117291936185
1,SAE_S_SVM_RBF,True,0.87202216066481997,0.82236154649947768,0.842439293598234
1,SAE_S_SVM_RBF,False,0.88863911464637735,0.83276616431696648,0.85545493747304868
1,SAE_S_SVM_POLY,True,0.81163434903047094,0.6782407407407407,0.71440397350993379
1,SAE_S_SVM_POLY,False,0.81618537091475007,0.67670250896057349,0.7138421733505822
2,SVM,True,0.53419282511210764,0.52681039248203432,0.53320420586607642
2,SVM,False,0.61130195809000343,0.59815126050420164,0.59750929689526944
2,SVM_RBF,True,0.95964125560538116,0.57546218487394962,0.63060320973990036
2,SVM_RBF,False,1.0,1.0,1.0
2,SVM_POLY,True,0.72309417040358748,0.87457627118644066,0.8121195351411179
2,SVM_POLY,False,0.86362074888354512,0.98241500586166486,0.92354925192424109
2,Log,True,0.58127802690582964,0.54984093319194061,0.55838406198118429
2,Log,False,0.69134318103744419,0.65789473684210531,0.66358211536798406
2,DL,True,0.85874439461883412,0.8454746136865342,0.85279468732706143
2,DL,False,0.99982823771899687,1.0,0.99991351725330802
2,SAE_SVM,True,0.6732062780269058,0.64053333333333329,0.65218594355284998
2,SAE_SVM,False,0.67811748540020611,0.65887850467289721,0.66116059846060715
2,SAE_SVM_RBF,True,0.83968609865470856,0.81192411924119257,0.82484781405644714
2,SAE_SVM_RBF,False,0.85434558570937824,0.84347973545870769,0.84683905560840611
2,SAE_SVM_POLY,True,0.7982062780269058,0.6902569074163839,0.72357498616491422
2,SAE_SVM_POLY,False,0.80127104087942291,0.69450647610540417,0.72247686586525983
2,DL_S,True,0.90302690582959644,0.89153292750415047,0.89789706696181515
2,DL_S,False,0.99965647543799385,0.99965647543799385,0.99965406901323184
2,SAE_S_SVM,True,0.66311659192825112,0.56279733587059944,0.57941339236303269
2,SAE_S_SVM,False,0.67777396083819996,0.5881651512893129,0.59880653809564988
2,SAE_S_SVM_RBF,True,0.88508968609865468,0.80808597748208799,0.83951300498063086
2,SAE_S_SVM_RBF,False,0.90054963929920995,0.83687150837988822,0.86154112254605208
2,SAE_S_SVM_POLY,True,0.82567264573991028,0.6744505494505495,0.71721084670724955
2,SAE_S_SVM_POLY,False,0.823943661971831,0.67449381327334079,0.71114762604860327
3,SVM,True,0.52704194260485648,0.53501400560224088,0.52969054920546421
3,SVM,False,0.61132471163928692,0.5892857142857143,0.5937608922969676
3,SVM_RBF,True,0.36092715231788081,0.90833333333333344,0.65876777251184837
3,SVM_RBF,False,1.0,1.0,1.0
3,SVM_POLY,True,0.60099337748344372,0.89703459637561789,0.76359074435461394
3,SVM_POLY,False,0.76249563089828731,0.99136559872756191,0.87826768909027531
3,Log,True,0.5656732891832229,0.55949781659388642,0.5556175076665737
3,Log,False,0.68367703600139806,0.6615930999492643,0.66791565005228304
3,DL,True,0.85485651214128033,0.84047748236570807,0.8447170337329245
3,DL,False,0.99982523593149253,0.99982523593149253,0.99982572324851859
3,SAE_SVM,True,0.66556291390728473,0.65401301518438182,0.65319208252021188
3,SAE_SVM,False,0.67074449493184196,0.66024428006193014,0.66373300801673052
3,SAE_SVM_RBF,True,0.82064017660044153,0.81212452211906061,0.81349316977976027
3,SAE_SVM_RBF,False,0.84882908074099961,0.84235171696149835,0.8454165214360404
3,SAE_SVM_POLY,True,0.74392935982339958,0.69844559585492227,0.70839141343741285
3,SAE_SVM_POLY,False,0.75340789933589658,0.71575626764071065,0.72786685256186823
3,DL_S,True,0.88686534216335544,0.89876957494407161,0.89238918316141624
3,DL_S,False,0.99982523593149253,0.99982523593149253,0.99982572324851859
3,SAE_S_SVM,True,0.62030905077262688,0.57552483358934958,0.5770839141343741
3,SAE_S_SVM,False,0.65501572876616565,0.58525921299188011,0.59654932032066921
3,SAE_S_SVM_RBF,True,0.87141280353200878,0.82282438770192812,0.84025648173961531
3,SAE_S_SVM_RBF,False,0.88657811953862287,0.83095823095823096,0.85352039037992333
3,SAE_S_SVM_POLY,True,0.77152317880794707,0.67864077669902911,0.70002787844995817
3,SAE_S_SVM_POLY,False,0.77105907025515552,0.68872931626600065,0.71209480655280588
4,SVM,True,0.54493742889647323,0.54308390022675734,0.545814479638009
4,SVM,False,0.61414392059553347,0.615234375,0.61601697162556346
4,SVM_RBF,True,0.34357224118316271,0.90014903129657231,0.65469457013574661
4,SVM_RBF,False,1.0,1.0,1.0
4,SVM_POLY,True,0.60295790671217298,0.88480801335559278,0.76357466063348411
4,SVM_POLY,False,0.78943637008153134,0.99065836298932386,0.89127552373375762
4,Log,True,0.56427758816837315,0.55172413793103448,0.55542986425339369
4,Log,False,0.69638426090038996,0.66661011197828302,0.67488729779899226
4,DL,True,0.82878270762229811,0.84561810795124781,0.83964932126696834
4,DL,False,1.0,1.0,1.0
4,SAE_SVM,True,0.61433447098976113,0.62681369704004641,0.62641402714932126
4,SAE_SVM,False,0.66572137539879472,0.65129183284203229,0.65552903739061252
4,SAE_SVM_RBF,True,0.81058020477815695,0.82752613240418116,0.82183257918552033
4,SAE_SVM_RBF,False,0.83551931939028712,0.84073479579097554,0.83903473879607526
4,SAE_SVM_POLY,True,0.71956769055745162,0.70552147239263807,0.71125565610859731
4,SAE_SVM_POLY,False,0.75168380007089686,0.71050427207237388,0.72341553964465655
4,DL_S,True,0.88452787258248011,0.88705077010838551,0.88659502262443435
4,DL_S,False,1.0,0.99964564138908574,0.9998232122337134
4,SAE_S_SVM,True,0.62229806598407278,0.5578786333503315,0.56702488687782804
4,SAE_S_SVM,False,0.64764267990074442,0.57917261055634806,0.58958720056572089
4,SAE_S_SVM_RBF,True,0.86461888509670082,0.8115323011211959,0.83286199095022628
4,SAE_S_SVM_RBF,False,0.88567883729174057,0.83255581472842388,0.85415009281357734
4,SAE_S_SVM_POLY,True,0.75881683731513083,0.67888040712468189,0.70164027149321262
4,SAE_S_SVM_POLY,False,0.78234668557249198,0.68947203998750395,0.71572527181119061
5,SVM,True,0.5236523652365237,0.52800887409872432,0.52712751308179562
5,SVM,False,0.58944482522275532,0.59116686715930578,0.58892906336088158
5,SVM_RBF,True,0.49174917491749176,0.8654404646660212,0.70724318369595152
5,SVM_RBF,False,1.0,1.0,1.0
5,SVM_POLY,True,0.65841584158415845,0.8827433628318585,0.78518314513908016
5,SVM_POLY,False,0.82813570938999315,0.98471882640586805,0.90719696969696972
5,Log,True,0.56765676567656764,0.54230162900683132,0.54365188653263563
5,Log,False,0.68745716244002741,0.65384615384615385,0.66012396694214881
5,DL,True,0.83113311331133111,0.84555120313374366,0.8394381713026714
5,DL,False,0.99982864976010966,0.99982864976010966,0.99982782369146006
5,SAE_SVM,True,0.66116611661166114,0.65043290043290047,0.65243734508399887
5,SAE_SVM,False,0.68265935572309799,0.66422140713571187,0.66718319559228645
5,SAE_SVM_RBF,True,0.80528052805280526,0.82805429864253388,0.81878270448912149
5,SAE_SVM_RBF,False,0.86086360520904726,0.8418230563002681,0.84882920110192839
5,SAE_SVM_POLY,True,0.75192519251925194,0.68797181680926023,0.70503993390250619
5,SAE_SVM_POLY,False,0.78992460589444824,0.70554025099479645,0.72882231404958675
5,DL_S,True,0.88943894389438949,0.88216039279869063,0.88515560451666209
5,DL_S,False,0.99982864976010966,0.99982864976010966,0.99982782369146006
5,SAE_S_SVM,True,0.63201320132013206,0.55560928433268864,0.56265491600110162
5,SAE_S_SVM,False,0.67854694996572995,0.59192825112107628,0.60347796143250687
5,SAE_S_SVM_RBF,True,0.85918591859185922,0.81354166666666672,0.83090057835307074
5,SAE_S_SVM_RBF,False,0.90010281014393423,0.83833386530481957,0.86260330578512401
5,SAE_S_SVM_POLY,True,0.77832783278327833,0.66183348924228247,0.68989259157256955
5,SAE_S_SVM_POLY,False,0.81391363947909523,0.68256933467452219,0.71633953168044073
6,SVM,True,0.57401315789473684,0.55367530407191967,0.54783821478382144
6,SVM,False,0.63261365631033872,0.59609659278862059,0.60458627604847848
6,SVM_RBF,True,0.30317982456140352,0.92320534223706163,0.63263598326359838
6,SVM_RBF,False,1.0,1.0,1.0
6,SVM_POLY,True,0.53234649122807021,0.89164370982552799,0.72914923291492328
6,SVM_POLY,False,0.71581534140775849,0.99293888483077675,0.85630830935565438
6,Log,True,0.55756578947368418,0.55695509309967139,0.54923291492329152
6,Log,False,0.67737405652097593,0.6549558723693143,0.66248147179353034
6,DL,True,0.83497807017543857,0.83543609434997257,0.83235704323570436
6,DL,False,1.0,0.99947368421052629,0.999738425320429
6,SAE_SVM,True,0.62883771929824561,0.63970998326826545,0.63096234309623433
6,SAE_SVM,False,0.65789011760575744,0.64979195561719838,0.6539366989275438
6,SAE_SVM_RBF,True,0.78289473684210531,0.81228668941979509,0.79748953974895398
6,SAE_SVM_RBF,False,0.82043180621379674,0.85307537871874428,0.84061382858139333
6,SAE_SVM_POLY,True,0.67543859649122806,0.71172732524552285,0.69567642956764297
6,SAE_SVM_POLY,False,0.70774091627172198,0.73176043557168768,0.72595692736943063
6,DL_S,True,0.88596491228070173,0.88986784140969166,0.88619246861924683
6,DL_S,False,1.0,0.99947368421052629,0.999738425320429
6,SAE_S_SVM,True,0.60197368421052633,0.56049004594180707,0.55732217573221754
6,SAE_S_SVM,False,0.63945936457784802,0.58046526449968128,0.59133315895021366
6,SAE_S_SVM_RBF,True,0.84375,0.8007284079084287,0.81366806136680614
6,SAE_S_SVM_RBF,False,0.87589959627874325,0.83950201884253028,0.85517481907751325
6,SAE_S_SVM_POLY,True,0.72861842105263153,0.69984202211690372,0.70292887029288698
6,SAE_S_SVM_POLY,False,0.75285237844479547,0.70346071838609148,0.71959194349986921
7,SVM,True,0.52075262866629768,0.5404939689833429,0.53901494189263977
7,SVM,False,0.6063848144952545,0.62117730245713276,0.61743341404358354
7,SVM_RBF,True,0.57166574432761486,0.82706164931945558,0.72606530160486993
7,SVM_RBF,False,1.0,1.0,1.0
7,SVM_POLY,True,0.64582180409518541,0.88543247344461307,0.78112894299944657
7,SVM_POLY,False,0.82950819672131149,0.98222313036371067,0.90703908682116918
7,Log,True,0.5749861649142225,0.55740343347639487,0.55921416712783623
7,Log,False,0.67592752372735121,0.6551262752968724,0.65928744379107573
7,DL,True,0.84560044272274493,0.83588621444201316,0.83978970669618147
7,DL,False,0.99930974978429676,0.99965475573968587,0.99948114839155999
7,SAE_SVM,True,0.65190924183729937,0.63813651137594796,0.64111787493082462
7,SAE_SVM,False,0.67057808455565138,0.65475989890480202,0.65773088896575582
7,SAE_SVM_RBF,True,0.82955174322080794,0.80332261521972137,0.81322634200332045
7,SAE_SVM_RBF,False,0.84952545297670401,0.83852835973428708,0.84261501210653755
7,SAE_SVM_POLY,True,0.79634753735473163,0.68950646861523723,0.71887105700055343
7,SAE_SVM_POLY,False,0.79068162208800685,0.69656430525995738,0.72250086475268072
7,DL_S,True,0.88876591034864416,0.88876591034864416,0.88876591034864416
7,DL_S,False,0.99965487489214844,1.0,0.99982704946385337
7,SAE_S_SVM,True,0.6502490315439956,0.57177615571776153,0.58162700608743778
7,SAE_S_SVM,False,0.65711820534943921,0.59057071960297769,0.59987893462469732
7,SAE_S_SVM_RBF,True,0.8710570005534034,0.80183392766174222,0.82789153292750417
7,SAE_S_SVM_RBF,False,0.89577221742881796,0.83443176338209279,0.85869941196817712
7,SAE_S_SVM_POLY,True,0.84006640841173219,0.66813380281690138,0.7114001106806862
7,SAE_S_SVM_POLY,False,0.83209663503019848,0.67886808390820785,0.71860947768938088
8,SVM,True,0.55687973997833151,0.55239118753358407,0.54964539007092195
8,SVM,False,0.61804485533299092,0.60907710477475963,0.61221009549795358
8,SVM_RBF,True,0.31960996749729143,0.91757387247278388,0.64293507910529191
8,SVM_RBF,False,1.0,1.0,1.0
8,SVM_POLY,True,0.59425785482123505,0.88897893030794162,0.75831969448990721
8,SVM_POLY,False,0.75500770416024654,0.98967684021543989,0.87406207366984989
8,Log,True,0.56283856988082337,0.55060943296237419,0.54855428259683581
8,Log,False,0.68412942989214176,0.66433915211970074,0.67053206002728516
8,DL,True,0.84886240520043332,0.84383414108777599,0.84478996181123844
8,DL,False,0.99931518575586376,0.99965747559513618,0.9994884038199181
8,SAE_SVM,True,0.65113759479956668,0.64072494669509594,0.64048008728859795
8,SAE_SVM,False,0.66837870227700735,0.66035182679296345,0.66362551159618011
8,SAE_SVM_RBF,True,0.81365113759479957,0.80796126949973102,0.80878341516639385
8,SAE_SVM_RBF,False,0.8390686526279747,0.8362054256952739,0.83799454297407916
8,SAE_SVM_POLY,True,0.75189599133261109,0.69539078156312628,0.70921985815602839
8,SAE_SVM_POLY,False,0.76990241397021053,0.71087575086942778,0.7294508867667121
8,DL_S,True,0.89978331527627298,0.88586666666666669,0.89116202945990175
8,DL_S,False,0.99914398219482969,0.99982867911598428,0.9994884038199181
8,SAE_S_SVM,True,0.63380281690140849,0.56962025316455689,0.57446808510638303
8,SAE_S_SVM,False,0.64954631056325973,0.58558419509183512,0.59652114597544337
8,SAE_S_SVM_RBF,True,0.86240520043336943,0.81183069862315149,0.83006001091107473
8,SAE_S_SVM_RBF,False,0.8854648176682075,0.8276524243879021,0.85112551159618011
8,SAE_S_SVM_POLY,True,0.78548212351029256,0.69511025886864808,0.71849427168576108
8,SAE_S_SVM_POLY,False,0.79746618729669572,0.70235223160434257,0.73081514324693042
9,SVM,True,0.48522030117122139,0.52283653846153844,0.52464008859357691
9,SVM,False,0.5860149591233258,0.60495600646435621,0.60363479013414112
9,SVM_RBF,True,0.30897936419408811,0.91873963515754564,0.64341085271317833
9,SVM_RBF,False,1.0,1.0,1.0
9,SVM_POLY,True,0.60234244283324034,0.89552238805970152,0.76771871539313397
9,SVM_POLY,False,0.77404766046268914,0.98560354374307857,0.88195586326265685
9,Log,True,0.54489682097044057,0.54217536071032191,0.54568106312292364
9,Log,False,0.6844668638024004,0.66301600673967986,0.66992643877109481
9,DL,True,0.84662576687116564,0.84427141268075645,0.84634551495016608
9,DL,False,0.999652113411028,0.99982602644398044,0.9997403721332756
9,SAE_SVM,True,0.66201896263245952,0.63885898815931108,0.64645625692137321
9,SAE_SVM,False,0.66428944164202475,0.6555097837281153,0.6592816962353959
9,SAE_SVM_RBF,True,0.81427774679308418,0.81382385730211815,0.81533776301218164
9,SAE_SVM_RBF,False,0.84049399895634025,0.84549431321084867,0.84422327996538293
9,SAE_SVM_POLY,True,0.72336865588399335,0.70681198910081744,0.71373200442967888
9,SAE_SVM_POLY,False,0.74986954252913551,0.71575626764071065,0.72739073993942016
9,DL_S,True,0.90239821528165087,0.87839305103148746,0.88953488372093026
9,DL_S,False,0.999652113411028,0.999652113411028,0.99965382951103421
9,SAE_S_SVM,True,0.61795872838817623,0.5567839195979899,0.56616832779623483
9,SAE_S_SVM,False,0.64428596277613503,0.57938370092288438,0.59030722630895716
9,SAE_S_SVM_RBF,True,0.86224205242610152,0.81282860147213465,0.8330564784053156
9,SAE_S_SVM_RBF,False,0.88345799269438163,0.83371634931057126,0.85434876676763305
9,SAE_S_SVM_POLY,True,0.76073619631901845,0.68063872255489022,0.70404208194905871
9,SAE_S_SVM_POLY,False,0.78135327883110106,0.69449598021026593,0.72020770229337949
10,SVM,True,0.53790813503043722,0.53494771601541002,0.53616786305908337
10,SVM,False,0.61608996539792382,0.5967823026646556,0.60094909404659191
10,SVM_RBF,True,0.3298284449363586,0.89489489489489493,0.64632799558255105
10,SVM_RBF,False,1.0,1.0,1.0
10,SVM_POLY,True,0.57055893746541231,0.88879310344827589,0.75013804527885142
10,SVM_POLY,False,0.75865051903114189,0.99006547753443208,0.8758412424503883
10,Log,True,0.56225788599889315,0.55157437567861023,0.55356156819436775
10,Log,False,0.67525951557093422,0.65784594640148319,0.66289905090595336
10,DL,True,0.83508577753182067,0.823240589198036,0.82827167310877969
10,DL,False,1.0,0.99982701954679132,0.99991371872303714
10,SAE_SVM,True,0.65412285556170446,0.64660831509846828,0.64908890115958029
10,SAE_SVM,False,0.66003460207612452,0.65662650602409633,0.65832614322691974
10,SAE_SVM_RBF,True,0.81018262313226341,0.81787709497206706,0.81529541689674212
10,SAE_SVM_RBF,False,0.84636678200692039,0.84026107866712474,0.84314063848144949
10,SAE_SVM_POLY,True,0.71555063641394578,0.69628432956381259,0.7023743787962452
10,SAE_SVM_POLY,False,0.74878892733564018,0.70442708333333337,0.71803278688524586
10,DL_S,True,0.88876591034864416,0.87235198261814229,0.87962451684152398
10,DL_S,False,1.0,0.99982701954679132,0.99991371872303714
10,SAE_S_SVM,True,0.61372440509131154,0.55505505505505504,0.56184428492545557
10,SAE_S_SVM,False,0.65830449826989623,0.58800803585226391,0.59956859361518555
10,SAE_S_SVM_RBF,True,0.85445489762036519,0.79793281653746762,0.81943677526228598
10,SAE_S_SVM_RBF,False,0.89411764705882357,0.83193818415969079,0.85711820534943917
10,SAE_S_SVM_POLY,True,0.78361925843940228,0.66666666666666663,0.69657647708448367
10,SAE_S_SVM_POLY,False,0.80000000000000004,0.68070072133078163,0.71311475409836067
