DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00081.14_int_PF00081.14,12,1.0,0.875,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,26,1.0,0.714,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,40,1.0,1.0,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,42,0.969,0.97,0.941,0.0,0.0,0.0
PF00087.13_int_PF00087.13,1,0.94,0.913,0.808,0.0,0.0,0.0
PF00087.13_int_PF00087.13,2,0.835,0.091,1.0,0.0,0.0,0.0
PF00087.13_int_PF00087.13,4,0.863,0.484,0.789,0.0,0.0,0.0
PF00087.13_int_PF00087.13,5,0.938,0.864,0.864,0.0,0.0,0.0
PF00087.13_int_PF00087.13,6,0.992,1.0,0.842,0.0,0.0,0.0
PF00087.13_int_PF00087.13,7,0.727,0.409,0.9,0.0,0.0,0.0
PF00087.13_int_PF00087.13,8,0.405,0.0,0.0,0.0,0.0,0.0
PF00087.13_int_PF00087.13,10,0.973,0.933,0.824,0.0,0.0,0.0
PF00087.13_int_PF00087.13,12,0.795,0.788,0.867,0.0,0.0,0.0
PF00087.13_int_PF00087.13,16,0.873,0.6,0.857,0.0,0.0,0.0
PF00104.22_int_PF08832.2,1,0.953,0.744,0.967,0.0,0.0,0.0
PF00104.22_int_PF08832.2,4,0.954,0.72,0.9,0.0,0.0,0.0
PF00104.22_int_PF08832.2,9,0.896,0.75,0.889,0.0,0.0,0.0
PF00104.22_int_PF08832.2,11,0.961,0.788,0.929,0.0,0.0,0.0
PF00127.12_int_PF06433.3,1,1.0,0.714,1.0,0.0,0.0,0.0
PF00127.12_int_PF06433.3,15,0.972,0.25,1.0,0.0,0.0,0.0
PF00127.12_int_PF06433.3,27,0.857,0.571,1.0,0.0,0.0,0.0
PF00149.20_int_PF08321.4,1,0.841,0.841,0.716,0.0,0.0,0.0
PF00149.20_int_PF08321.4,3,0.892,0.906,0.817,0.0,0.0,0.0
PF00167.10_int_PF07679.8,1,0.924,0.867,0.867,0.0,0.0,0.0
PF00167.10_int_PF07679.8,2,0.882,0.568,0.808,0.0,0.0,0.0
PF00167.10_int_PF07679.8,6,0.885,0.595,0.846,0.0,0.0,0.0
PF00167.10_int_PF07679.8,7,0.918,0.628,0.844,0.0,0.0,0.0
PF00167.10_int_PF07679.8,11,0.901,0.722,0.812,0.0,0.0,0.0
PF00167.10_int_PF07679.8,24,0.894,0.679,0.864,0.0,0.0,0.0
PF00167.10_int_PF07679.8,25,0.995,0.571,1.0,0.0,0.0,0.0
PF00167.10_int_PF07679.8,26,0.961,0.917,0.892,0.0,0.0,0.0
PF00243.10_int_PF00243.10,1,0.859,0.826,0.803,0.0,0.0,0.0
PF00243.10_int_PF00243.10,2,0.912,0.844,0.844,0.0,0.0,0.0
PF00243.10_int_PF00243.10,3,0.92,0.84,0.818,0.0,0.0,0.0
PF00243.10_int_PF00243.10,4,0.83,0.7,0.778,0.0,0.0,0.0
PF00243.10_int_PF00243.10,7,0.877,0.811,0.849,0.0,0.0,0.0
PF00243.10_int_PF00243.10,8,0.915,0.806,0.871,0.0,0.0,0.0
PF00243.10_int_PF00243.10,12,0.952,0.841,0.873,0.0,0.0,0.0
PF00254.20_int_PF00254.20,1,0.665,0.087,0.5,0.0,0.0,0.0
PF00254.20_int_PF00254.20,7,0.707,0.625,0.833,0.0,0.0,0.0
PF00254.20_int_PF00254.20,9,0.529,0.227,0.5,0.0,0.0,0.0
PF00254.20_int_PF00254.20,15,0.891,0.75,1.0,0.0,0.0,0.0
PF00254.20_int_PF00254.20,16,0.56,0.15,1.0,0.0,0.0,0.0
PF00254.20_int_PF00254.20,18,0.636,0.636,0.636,0.0,0.0,0.0
PF00385.16_int_PF00385.16,1,0.967,1.0,0.786,0.0,0.0,0.0
PF00385.16_int_PF00385.16,11,0.96,1.0,0.833,0.0,0.0,0.0
PF00385.16_int_PF00385.16,13,0.802,0.222,1.0,0.0,0.0,0.0
PF00385.16_int_PF00385.16,17,0.957,0.944,0.81,0.0,0.0,0.0
PF00385.16_int_PF00385.16,18,0.9,0.579,0.917,0.0,0.0,0.0
PF00385.16_int_PF00385.16,19,0.823,0.684,0.929,0.0,0.0,0.0
PF00393.11_int_PF00393.11,1,0.832,0.697,0.828,0.0,0.0,0.0
PF00393.11_int_PF00393.11,2,0.852,0.775,0.773,0.0,0.0,0.0
PF00393.11_int_PF00393.11,5,0.913,0.912,0.795,0.0,0.0,0.0
PF00393.11_int_PF00393.11,7,0.913,0.815,0.844,0.0,0.0,0.0
PF00393.11_int_PF00393.11,11,0.914,0.848,0.831,0.0,0.0,0.0
PF00511.9_int_PF00511.9,1,0.968,0.933,0.848,0.0,0.0,0.0
PF00511.9_int_PF00511.9,2,0.998,1.0,0.851,0.0,0.0,0.0
PF00511.9_int_PF00511.9,3,0.973,0.95,0.974,0.0,0.0,0.0
PF00511.9_int_PF00511.9,7,0.978,0.941,0.97,0.0,0.0,0.0
PF00511.9_int_PF00511.9,9,0.976,0.885,0.979,0.0,0.0,0.0
PF00511.9_int_PF00511.9,15,0.974,0.972,0.875,0.0,0.0,0.0
PF00563.12_int_PF00563.12,1,0.539,0.065,0.333,0.0,0.0,0.0
PF00563.12_int_PF00563.12,2,0.656,0.127,0.467,0.0,0.0,0.0
PF00563.12_int_PF00563.12,4,0.567,0.089,0.455,0.0,0.0,0.0
PF00563.12_int_PF00563.12,9,0.298,0.34,0.309,0.0,0.0,0.0
PF00617.11_int_PF00618.12,1,0.982,0.812,1.0,0.0,0.0,0.0
PF00617.11_int_PF00618.12,11,0.985,0.791,0.971,0.0,0.0,0.0
PF00711.11_int_PF00711.11,1,0.389,0.0,0.0,0.0,0.0,0.0
PF00711.11_int_PF00711.11,23,0.39,0.2,1.0,0.0,0.0,0.0
PF00712.11_int_PF02768.7,1,0.991,0.941,0.941,0.0,0.0,0.0
PF00712.11_int_PF02768.7,7,0.994,0.929,0.929,0.0,0.0,0.0
PF00712.11_int_PF02768.7,9,1.0,1.0,0.967,0.0,0.0,0.0
