DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00081.14_int_PF00081.14,12,1.0,0.875,1.0,1.0,0.0,0.0
PF00081.14_int_PF00081.14,26,0.98,0.714,1.0,0.98,0.0,0.0
PF00081.14_int_PF00081.14,40,1.0,1.0,1.0,1.0,0.0,0.0
PF00081.14_int_PF00081.14,42,0.973,1.0,0.767,0.973,0.0,0.0
PF00087.13_int_PF00087.13,1,0.955,0.435,1.0,0.955,0.0,0.0
PF00087.13_int_PF00087.13,2,0.917,0.0,0.0,0.917,0.0,0.0
PF00087.13_int_PF00087.13,4,0.984,0.935,0.967,0.984,0.0,0.0
PF00087.13_int_PF00087.13,5,0.952,0.409,1.0,0.952,0.0,0.0
PF00087.13_int_PF00087.13,6,0.988,0.812,1.0,0.988,0.0,0.0
PF00087.13_int_PF00087.13,7,0.76,0.045,0.333,0.76,0.0,0.0
PF00087.13_int_PF00087.13,8,0.405,0.0,0.0,0.405,0.0,0.0
PF00087.13_int_PF00087.13,10,0.96,0.467,1.0,0.96,0.0,0.0
PF00087.13_int_PF00087.13,12,0.916,0.212,0.875,0.916,0.0,0.0
PF00087.13_int_PF00087.13,16,0.833,0.0,0.0,0.833,0.0,0.0
PF00104.22_int_PF08832.2,1,0.95,0.667,0.963,0.95,0.0,0.0
PF00104.22_int_PF08832.2,4,0.938,0.76,0.905,0.938,0.0,0.0
PF00104.22_int_PF08832.2,9,0.931,0.781,0.926,0.931,0.0,0.0
PF00104.22_int_PF08832.2,11,0.938,0.788,0.897,0.938,0.0,0.0
PF00127.12_int_PF06433.3,1,1.0,1.0,1.0,1.0,0.0,0.0
PF00127.12_int_PF06433.3,15,0.889,1.0,0.857,0.889,0.0,0.0
PF00127.12_int_PF06433.3,27,1.0,1.0,1.0,1.0,0.0,0.0
PF00149.20_int_PF08321.4,1,0.838,0.984,0.738,0.838,0.0,0.0
PF00149.20_int_PF08321.4,3,0.834,1.0,0.681,0.834,0.0,0.0
PF00167.10_int_PF07679.8,1,0.924,0.067,1.0,0.924,0.0,0.0
PF00167.10_int_PF07679.8,2,0.911,0.405,0.789,0.911,0.0,0.0
PF00167.10_int_PF07679.8,6,0.833,0.378,0.778,0.833,0.0,0.0
PF00167.10_int_PF07679.8,7,0.888,0.465,0.8,0.888,0.0,0.0
PF00167.10_int_PF07679.8,11,0.944,0.0,0.0,0.944,0.0,0.0
PF00167.10_int_PF07679.8,24,0.98,0.964,0.871,0.98,0.0,0.0
PF00167.10_int_PF07679.8,25,0.949,0.143,1.0,0.949,0.0,0.0
PF00167.10_int_PF07679.8,26,0.867,0.639,0.719,0.867,0.0,0.0
PF00243.10_int_PF00243.10,1,0.847,0.609,0.824,0.847,0.0,0.0
PF00243.10_int_PF00243.10,2,0.863,0.61,0.797,0.863,0.0,0.0
PF00243.10_int_PF00243.10,3,0.926,0.747,0.875,0.926,0.0,0.0
PF00243.10_int_PF00243.10,4,0.88,0.6,1.0,0.88,0.0,0.0
PF00243.10_int_PF00243.10,7,0.803,0.522,0.797,0.803,0.0,0.0
PF00243.10_int_PF00243.10,8,0.917,0.791,0.869,0.917,0.0,0.0
PF00243.10_int_PF00243.10,12,0.908,0.732,0.857,0.908,0.0,0.0
PF00254.20_int_PF00254.20,1,0.836,0.0,0.0,0.836,0.0,0.0
PF00254.20_int_PF00254.20,7,0.945,0.562,1.0,0.945,0.0,0.0
PF00254.20_int_PF00254.20,9,0.808,0.0,0.0,0.808,0.0,0.0
PF00254.20_int_PF00254.20,15,0.797,0.625,1.0,0.797,0.0,0.0
PF00254.20_int_PF00254.20,16,0.745,0.0,0.0,0.745,0.0,0.0
PF00254.20_int_PF00254.20,18,1.0,0.091,1.0,1.0,0.0,0.0
PF00385.16_int_PF00385.16,1,1.0,1.0,1.0,1.0,0.0,0.0
PF00385.16_int_PF00385.16,11,0.99,0.9,1.0,0.99,0.0,0.0
PF00385.16_int_PF00385.16,13,0.988,0.0,0.0,0.988,0.0,0.0
PF00385.16_int_PF00385.16,17,0.901,0.444,0.889,0.901,0.0,0.0
PF00385.16_int_PF00385.16,18,0.856,0.105,1.0,0.856,0.0,0.0
PF00385.16_int_PF00385.16,19,0.911,0.105,1.0,0.911,0.0,0.0
PF00393.11_int_PF00393.11,1,0.806,0.643,0.781,0.806,0.0,0.0
PF00393.11_int_PF00393.11,2,0.858,0.73,0.827,0.858,0.0,0.0
PF00393.11_int_PF00393.11,5,0.901,0.807,0.834,0.901,0.0,0.0
PF00393.11_int_PF00393.11,7,0.895,0.724,0.877,0.895,0.0,0.0
PF00393.11_int_PF00393.11,11,0.895,0.767,0.802,0.895,0.0,0.0
PF00511.9_int_PF00511.9,1,0.963,0.767,0.885,0.963,0.0,0.0
PF00511.9_int_PF00511.9,2,0.999,0.925,1.0,0.999,0.0,0.0
PF00511.9_int_PF00511.9,3,0.987,0.875,0.972,0.987,0.0,0.0
PF00511.9_int_PF00511.9,7,0.965,0.765,0.929,0.965,0.0,0.0
PF00511.9_int_PF00511.9,9,0.947,0.673,0.972,0.947,0.0,0.0
PF00511.9_int_PF00511.9,15,0.987,0.917,1.0,0.987,0.0,0.0
PF00563.12_int_PF00563.12,1,0.433,0.022,0.143,0.433,0.0,0.0
PF00563.12_int_PF00563.12,2,0.454,0.073,0.364,0.454,0.0,0.0
PF00563.12_int_PF00563.12,4,0.595,0.089,0.455,0.595,0.0,0.0
PF00563.12_int_PF00563.12,9,0.052,0.16,0.151,0.052,0.0,0.0
PF00617.11_int_PF00618.12,1,0.993,0.875,1.0,0.993,0.0,0.0
PF00617.11_int_PF00618.12,11,0.975,0.581,1.0,0.975,0.0,0.0
PF00711.11_int_PF00711.11,1,0.333,0.0,0.0,0.333,0.0,0.0
PF00711.11_int_PF00711.11,23,0.2,1.0,0.5,0.2,0.0,0.0
PF00712.11_int_PF02768.7,1,0.997,0.941,1.0,0.997,0.0,0.0
PF00712.11_int_PF02768.7,7,1.0,1.0,0.966,1.0,0.0,0.0
PF00712.11_int_PF02768.7,9,1.0,1.0,1.0,1.0,0.0,0.0
PF00782.12_int_PF00782.12,1,1.0,0.5,1.0,1.0,0.0,0.0
PF00782.12_int_PF00782.12,2,0.982,0.231,1.0,0.982,0.0,0.0
PF00782.12_int_PF00782.12,3,0.591,0.0,0.0,0.591,0.0,0.0
