DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00081.14_int_PF00081.14,12,0.984,0.875,1.0,0.688,0.375,1.0
PF00081.14_int_PF00081.14,26,1.0,0.714,1.0,0.5,0.0,0.0
PF00081.14_int_PF00081.14,40,1.0,1.0,1.0,0.5,0.0,0.0
PF00081.14_int_PF00081.14,42,0.992,0.97,0.97,1.0,1.0,1.0
PF00087.13_int_PF00087.13,1,0.911,0.522,1.0,0.88,0.783,0.947
PF00087.13_int_PF00087.13,2,0.822,0.0,0.0,0.5,0.045,0.5
PF00087.13_int_PF00087.13,4,0.894,0.581,0.9,0.855,0.71,1.0
PF00087.13_int_PF00087.13,5,0.952,0.5,1.0,0.864,0.727,1.0
PF00087.13_int_PF00087.13,6,0.945,0.875,0.875,0.875,0.75,1.0
PF00087.13_int_PF00087.13,7,0.845,0.091,1.0,0.5,0.0,0.0
PF00087.13_int_PF00087.13,8,0.421,0.0,0.0,0.5,0.0,0.0
PF00087.13_int_PF00087.13,10,0.996,0.667,1.0,0.9,0.8,1.0
PF00087.13_int_PF00087.13,12,0.866,0.667,0.88,0.849,0.727,0.923
PF00087.13_int_PF00087.13,16,0.92,0.5,0.909,0.5,0.05,0.5
PF00104.22_int_PF08832.2,1,0.94,0.667,0.963,0.859,0.718,1.0
PF00104.22_int_PF08832.2,4,0.943,0.68,0.895,0.98,0.96,1.0
PF00104.22_int_PF08832.2,9,0.943,0.781,0.962,0.953,0.906,1.0
PF00104.22_int_PF08832.2,11,0.943,0.788,0.929,0.97,0.939,1.0
PF00127.12_int_PF06433.3,1,1.0,0.857,1.0,0.786,0.571,1.0
PF00127.12_int_PF06433.3,15,1.0,0.333,1.0,0.5,0.0,0.0
PF00127.12_int_PF06433.3,27,1.0,0.857,1.0,0.786,0.571,1.0
PF00149.20_int_PF08321.4,1,0.939,0.984,0.795,0.944,0.889,1.0
PF00149.20_int_PF08321.4,3,0.939,1.0,0.727,0.938,0.875,1.0
PF00167.10_int_PF07679.8,1,0.88,0.533,0.8,0.967,0.933,1.0
PF00167.10_int_PF07679.8,2,0.979,0.622,1.0,0.811,0.622,1.0
PF00167.10_int_PF07679.8,6,0.835,0.297,0.917,0.892,0.784,1.0
PF00167.10_int_PF07679.8,7,0.922,0.581,0.806,0.86,0.721,1.0
PF00167.10_int_PF07679.8,11,1.0,0.611,1.0,0.944,0.889,1.0
PF00167.10_int_PF07679.8,24,0.895,0.857,0.889,0.946,0.893,1.0
PF00167.10_int_PF07679.8,25,0.908,0.571,1.0,0.786,0.571,1.0
PF00167.10_int_PF07679.8,26,0.976,0.972,0.946,0.798,0.611,0.957
PF00243.10_int_PF00243.10,1,0.89,0.696,0.906,0.978,0.957,1.0
PF00243.10_int_PF00243.10,2,0.922,0.818,0.887,0.968,0.935,1.0
PF00243.10_int_PF00243.10,3,0.916,0.827,0.899,0.987,0.973,1.0
PF00243.10_int_PF00243.10,4,0.66,0.3,1.0,0.65,0.3,1.0
PF00243.10_int_PF00243.10,7,0.883,0.633,0.891,0.911,0.822,1.0
PF00243.10_int_PF00243.10,8,0.919,0.776,0.929,0.925,0.851,1.0
PF00243.10_int_PF00243.10,12,0.939,0.854,0.959,0.982,0.963,1.0
PF00254.20_int_PF00254.20,1,0.849,0.0,0.0,0.522,0.043,1.0
PF00254.20_int_PF00254.20,7,0.859,0.125,0.5,0.5,0.0,0.0
PF00254.20_int_PF00254.20,9,0.855,0.0,0.0,0.5,0.0,0.0
PF00254.20_int_PF00254.20,15,0.797,0.75,0.75,0.5,0.0,0.0
PF00254.20_int_PF00254.20,16,0.615,0.0,0.0,0.475,0.0,0.0
PF00254.20_int_PF00254.20,18,0.851,0.182,1.0,0.545,0.091,1.0
PF00385.16_int_PF00385.16,1,1.0,1.0,1.0,0.864,0.727,1.0
PF00385.16_int_PF00385.16,11,0.94,0.7,0.875,0.85,0.8,0.889
PF00385.16_int_PF00385.16,13,0.975,0.0,0.0,0.5,0.0,0.0
PF00385.16_int_PF00385.16,17,0.858,0.611,0.786,0.556,0.111,1.0
PF00385.16_int_PF00385.16,18,0.812,0.211,0.667,0.526,0.105,0.667
PF00385.16_int_PF00385.16,19,0.931,0.105,1.0,0.5,0.0,0.0
PF00393.11_int_PF00393.11,1,0.843,0.675,0.827,0.889,0.78,0.991
PF00393.11_int_PF00393.11,2,0.918,0.792,0.862,0.976,0.954,0.993
PF00393.11_int_PF00393.11,5,0.929,0.853,0.861,0.974,0.948,0.997
PF00393.11_int_PF00393.11,7,0.936,0.741,0.906,0.958,0.916,1.0
PF00393.11_int_PF00393.11,11,0.928,0.814,0.873,0.983,0.966,0.997
PF00511.9_int_PF00511.9,1,0.994,0.933,1.0,0.895,0.8,0.96
PF00511.9_int_PF00511.9,2,0.986,0.975,0.951,0.975,0.95,1.0
PF00511.9_int_PF00511.9,3,1.0,0.85,1.0,0.95,0.9,1.0
PF00511.9_int_PF00511.9,7,0.976,0.912,0.969,0.991,1.0,0.971
PF00511.9_int_PF00511.9,9,0.986,0.75,1.0,0.885,0.769,1.0
PF00511.9_int_PF00511.9,15,0.979,0.861,0.912,0.958,0.917,1.0
PF00563.12_int_PF00563.12,1,0.497,0.043,0.4,0.815,0.63,1.0
PF00563.12_int_PF00563.12,2,0.45,0.018,0.2,0.773,0.545,1.0
PF00563.12_int_PF00563.12,4,0.597,0.018,0.5,0.741,0.482,1.0
PF00563.12_int_PF00563.12,9,0.43,0.54,0.415,0.5,0.0,0.0
PF00617.11_int_PF00618.12,1,0.988,0.688,1.0,0.875,0.75,1.0
PF00617.11_int_PF00618.12,11,0.958,0.512,1.0,0.779,0.558,1.0
PF00711.11_int_PF00711.11,1,0.639,0.0,0.0,0.5,0.0,0.0
PF00711.11_int_PF00711.11,23,0.93,0.5,0.833,0.5,0.0,0.0
PF00712.11_int_PF02768.7,1,0.994,0.882,1.0,0.824,0.647,1.0
PF00712.11_int_PF02768.7,7,0.997,1.0,0.966,0.982,0.964,1.0
PF00712.11_int_PF02768.7,9,1.0,1.0,1.0,0.983,0.966,1.0
PF00782.12_int_PF00782.12,1,0.972,0.5,1.0,0.5,0.0,0.0
PF00782.12_int_PF00782.12,2,0.734,0.308,1.0,0.615,0.231,1.0
PF00782.12_int_PF00782.12,3,0.273,0.0,0.0,0.545,0.091,1.0
PF00782.12_int_PF00782.12,4,0.707,0.0,0.0,0.469,0.0,0.0
PF00782.12_int_PF00782.12,7,0.832,0.143,1.0,0.5,0.0,0.0
PF00782.12_int_PF00782.12,11,0.868,0.0,0.0,0.53,0.061,1.0
PF00782.12_int_PF00782.12,13,0.8,0.667,0.769,0.5,0.0,0.0
PF00782.12_int_PF00782.12,18,0.835,0.0,0.0,0.5,0.0,0.0
PF00563.12_int_PF00563.12,0.4935
PF00051.10_int_PF00051.10,0.73875
PF00782.12_int_PF00782.12,0.752625
PF00028.9_int_PF00028.9,0.78275
PF00711.11_int_PF00711.11,0.7845
PF00254.20_int_PF00254.20,0.804333333333
PF00087.13_int_PF00087.13,0.8572
PF00017.16_int_PF00018.20,0.864111111111
PF00243.10_int_PF00243.10,0.875571428571
PF00393.11_int_PF00393.11,0.9108
PF00385.16_int_PF00385.16,0.919333333333
PF00167.10_int_PF07679.8,0.924375
PF00004.21_int_PF09336.2,0.928666666667
PF00025.13_int_PF00025.13,0.928777777778
PF00149.20_int_PF08321.4,0.939
PF00104.22_int_PF08832.2,0.94225
PF00074.12_int_PF07686.9,0.958
PF00081.14_int_PF00081.14,0.9585
PF00032.9_int_PF02939.8,0.96825
PF00617.11_int_PF00618.12,0.973
PF00033.11_int_PF02271.8,0.977
PF00033.11_int_PF00355.18,0.983285714286
PF00511.9_int_PF00511.9,0.986833333333
PF00033.11_int_PF00033.11,0.989
PF00034.13_int_PF00141.15,0.992
PF00712.11_int_PF02768.7,0.997
PF00032.9_int_PF02271.8,0.99775
PF00033.11_int_PF02939.8,1.0
PF00034.13_int_PF02239.8,1.0
PF00127.12_int_PF06433.3,1.0
