DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00081.14_int_PF00081.14,12,1.0,0.75,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,26,1.0,0.714,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,40,1.0,1.0,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,42,0.961,1.0,0.892,0.0,0.0,0.0
PF00087.13_int_PF00087.13,1,0.849,0.783,0.72,0.0,0.0,0.0
PF00087.13_int_PF00087.13,2,0.49,0.091,0.286,0.0,0.0,0.0
PF00087.13_int_PF00087.13,4,0.853,0.581,0.9,0.0,0.0,0.0
PF00087.13_int_PF00087.13,5,0.89,0.818,0.818,0.0,0.0,0.0
PF00087.13_int_PF00087.13,6,0.969,0.625,1.0,0.0,0.0,0.0
PF00087.13_int_PF00087.13,7,0.589,0.455,0.625,0.0,0.0,0.0
PF00087.13_int_PF00087.13,8,0.653,0.0,0.0,0.0,0.0,0.0
PF00087.13_int_PF00087.13,10,0.902,0.867,0.812,0.0,0.0,0.0
PF00087.13_int_PF00087.13,12,0.848,0.727,0.706,0.0,0.0,0.0
PF00087.13_int_PF00087.13,16,0.807,0.4,0.889,0.0,0.0,0.0
PF00104.22_int_PF08832.2,1,0.98,0.846,0.971,0.0,0.0,0.0
PF00104.22_int_PF08832.2,4,0.982,0.84,0.955,0.0,0.0,0.0
PF00104.22_int_PF08832.2,9,0.982,0.969,0.912,0.0,0.0,0.0
PF00104.22_int_PF08832.2,11,0.991,1.0,0.917,0.0,0.0,0.0
PF00127.12_int_PF06433.3,1,1.0,0.857,1.0,0.0,0.0,0.0
PF00127.12_int_PF06433.3,15,1.0,0.25,1.0,0.0,0.0,0.0
PF00127.12_int_PF06433.3,27,1.0,0.857,1.0,0.0,0.0,0.0
PF00149.20_int_PF08321.4,1,0.931,1.0,0.887,0.0,0.0,0.0
PF00149.20_int_PF08321.4,3,0.909,0.969,0.765,0.0,0.0,0.0
PF00167.10_int_PF07679.8,1,0.929,0.8,0.857,0.0,0.0,0.0
PF00167.10_int_PF07679.8,2,0.96,0.892,0.917,0.0,0.0,0.0
PF00167.10_int_PF07679.8,6,0.904,0.676,0.833,0.0,0.0,0.0
PF00167.10_int_PF07679.8,7,0.972,1.0,0.827,0.0,0.0,0.0
PF00167.10_int_PF07679.8,11,0.889,0.833,0.882,0.0,0.0,0.0
PF00167.10_int_PF07679.8,24,0.963,0.857,0.923,0.0,0.0,0.0
PF00167.10_int_PF07679.8,25,0.98,0.857,0.923,0.0,0.0,0.0
PF00167.10_int_PF07679.8,26,0.972,1.0,0.9,0.0,0.0,0.0
