DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00081.14_int_PF00081.14,12,0.922,0.875,0.778,0.688,0.375,1.0
PF00081.14_int_PF00081.14,26,0.959,0.714,1.0,0.5,0.0,0.0
PF00081.14_int_PF00081.14,40,1.0,1.0,1.0,0.5,0.0,0.0
PF00081.14_int_PF00081.14,42,0.994,1.0,0.825,1.0,1.0,1.0
PF00087.13_int_PF00087.13,1,0.968,0.87,0.909,0.891,0.783,1.0
PF00087.13_int_PF00087.13,2,0.82,0.545,0.75,0.476,0.045,0.333
PF00087.13_int_PF00087.13,4,0.934,0.871,0.9,0.855,0.71,1.0
PF00087.13_int_PF00087.13,5,0.961,0.818,0.947,0.864,0.727,1.0
PF00087.13_int_PF00087.13,6,0.984,1.0,0.8,0.875,0.75,1.0
PF00087.13_int_PF00087.13,7,0.769,0.591,0.722,0.5,0.0,0.0
PF00087.13_int_PF00087.13,8,0.595,0.091,0.5,0.409,0.0,0.0
PF00087.13_int_PF00087.13,10,0.987,0.933,0.824,0.9,0.8,1.0
PF00087.13_int_PF00087.13,12,0.793,0.788,0.743,0.835,0.727,0.923
PF00087.13_int_PF00087.13,16,0.877,0.55,0.846,0.525,0.05,1.0
PF00104.22_int_PF08832.2,1,0.954,0.744,0.935,0.859,0.718,1.0
PF00104.22_int_PF08832.2,4,0.965,0.88,0.917,0.98,0.96,1.0
PF00104.22_int_PF08832.2,9,0.879,0.781,0.833,0.953,0.906,1.0
PF00104.22_int_PF08832.2,11,0.889,0.788,0.812,0.97,0.939,1.0
PF00127.12_int_PF06433.3,1,1.0,1.0,1.0,0.786,0.571,1.0
PF00127.12_int_PF06433.3,15,1.0,1.0,1.0,0.5,0.0,0.0
PF00127.12_int_PF06433.3,27,1.0,1.0,1.0,0.786,0.571,1.0
PF00149.20_int_PF08321.4,1,0.861,1.0,0.787,0.944,0.889,1.0
PF00149.20_int_PF08321.4,3,0.951,1.0,0.736,0.93,0.875,0.982
PF00167.10_int_PF07679.8,1,0.947,0.933,0.824,0.967,0.933,1.0
PF00167.10_int_PF07679.8,2,0.924,0.973,0.8,0.811,0.622,1.0
PF00167.10_int_PF07679.8,6,0.82,0.514,0.864,0.892,0.784,1.0
PF00167.10_int_PF07679.8,7,0.945,1.0,0.86,0.86,0.721,1.0
PF00167.10_int_PF07679.8,11,0.966,0.833,0.938,0.901,0.889,0.941
PF00167.10_int_PF07679.8,24,0.968,0.893,0.893,0.924,0.893,0.926
PF00167.10_int_PF07679.8,25,0.893,0.786,0.846,0.786,0.571,1.0
PF00167.10_int_PF07679.8,26,0.979,1.0,0.9,0.806,0.611,1.0
PF00243.10_int_PF00243.10,1,0.879,0.768,0.779,0.978,0.957,1.0
PF00243.10_int_PF00243.10,2,0.922,0.857,0.846,0.968,0.935,1.0
PF00243.10_int_PF00243.10,3,0.875,0.813,0.824,0.987,0.973,1.0
PF00243.10_int_PF00243.10,4,0.54,0.4,0.571,0.61,0.3,0.75
PF00243.10_int_PF00243.10,7,0.854,0.667,0.822,0.911,0.822,1.0
PF00243.10_int_PF00243.10,8,0.906,0.836,0.848,0.925,0.851,1.0
PF00243.10_int_PF00243.10,12,0.928,0.89,0.82,0.982,0.963,1.0
PF00254.20_int_PF00254.20,1,0.919,0.652,0.882,0.522,0.043,1.0
PF00254.20_int_PF00254.20,7,0.82,0.562,0.75,0.5,0.0,0.0
PF00254.20_int_PF00254.20,9,0.581,0.273,0.462,0.5,0.0,0.0
PF00254.20_int_PF00254.20,15,0.797,0.75,0.75,0.5,0.0,0.0
PF00254.20_int_PF00254.20,16,0.675,0.6,0.8,0.5,0.0,0.0
PF00254.20_int_PF00254.20,18,0.826,0.818,0.9,0.545,0.091,1.0
PF00385.16_int_PF00385.16,1,1.0,1.0,0.917,0.864,0.727,1.0
PF00385.16_int_PF00385.16,11,0.97,1.0,0.909,0.9,0.8,1.0
PF00385.16_int_PF00385.16,13,0.889,0.111,1.0,0.5,0.0,0.0
PF00385.16_int_PF00385.16,17,0.898,0.778,0.737,0.556,0.111,1.0
PF00385.16_int_PF00385.16,18,0.881,0.789,0.789,0.553,0.105,1.0
PF00385.16_int_PF00385.16,19,0.936,0.526,0.909,0.5,0.0,0.0
PF00393.11_int_PF00393.11,1,0.841,0.679,0.858,0.89,0.78,1.0
PF00393.11_int_PF00393.11,2,0.86,0.772,0.812,0.977,0.954,0.997
PF00393.11_int_PF00393.11,5,0.921,0.873,0.842,0.974,0.948,0.997
PF00393.11_int_PF00393.11,7,0.914,0.776,0.884,0.958,0.916,1.0
PF00393.11_int_PF00393.11,11,0.937,0.861,0.885,0.983,0.966,1.0
PF00511.9_int_PF00511.9,1,0.999,0.933,1.0,0.9,0.8,1.0
PF00511.9_int_PF00511.9,2,0.989,0.95,0.95,0.975,0.95,1.0
PF00511.9_int_PF00511.9,3,0.999,0.975,1.0,0.95,0.9,1.0
PF00511.9_int_PF00511.9,7,1.0,0.882,1.0,1.0,1.0,1.0
PF00511.9_int_PF00511.9,9,0.926,0.808,0.913,0.882,0.769,0.976
PF00511.9_int_PF00511.9,15,0.949,0.917,0.868,0.952,0.917,0.971
PF00563.12_int_PF00563.12,1,0.62,0.304,0.737,0.815,0.63,1.0
PF00563.12_int_PF00563.12,2,0.661,0.327,0.692,0.773,0.545,1.0
PF00563.12_int_PF00563.12,4,0.64,0.375,0.75,0.741,0.482,1.0
PF00563.12_int_PF00563.12,9,0.264,0.14,0.333,0.5,0.0,0.0
PF00617.11_int_PF00618.12,1,0.986,0.969,0.939,0.875,0.75,1.0
PF00617.11_int_PF00618.12,11,0.952,0.86,0.86,0.779,0.558,1.0
PF00711.11_int_PF00711.11,1,0.778,0.0,0.0,0.5,0.0,0.0
PF00711.11_int_PF00711.11,23,0.84,1.0,0.833,0.5,0.0,0.0
PF00712.11_int_PF02768.7,1,0.99,0.912,0.969,0.824,0.647,1.0
PF00712.11_int_PF02768.7,7,0.995,1.0,0.966,0.982,0.964,1.0
PF00712.11_int_PF02768.7,9,1.0,1.0,1.0,0.983,0.966,1.0
PF00782.12_int_PF00782.12,1,1.0,1.0,1.0,0.5,0.0,0.0
PF00782.12_int_PF00782.12,2,0.97,0.769,1.0,0.615,0.231,1.0
PF00782.12_int_PF00782.12,3,0.455,0.0,0.0,0.545,0.091,1.0
PF00782.12_int_PF00782.12,4,0.898,0.125,1.0,0.5,0.0,0.0
PF00782.12_int_PF00782.12,7,0.852,0.643,0.818,0.5,0.0,0.0
PF00782.12_int_PF00782.12,11,0.904,0.848,0.848,0.53,0.061,1.0
PF00782.12_int_PF00782.12,13,0.893,0.933,0.824,0.5,0.0,0.0
PF00782.12_int_PF00782.12,18,0.893,0.455,0.833,0.5,0.0,0.0
PF00563.12_int_PF00563.12,0.54625
PF00254.20_int_PF00254.20,0.769666666667
PF00711.11_int_PF00711.11,0.809
PF00028.9_int_PF00028.9,0.836125
PF00243.10_int_PF00243.10,0.843428571429
PF00782.12_int_PF00782.12,0.858125
PF00087.13_int_PF00087.13,0.8688
PF00034.13_int_PF00141.15,0.8725
PF00051.10_int_PF00051.10,0.88425
PF00393.11_int_PF00393.11,0.8946
PF00074.12_int_PF07686.9,0.898333333333
PF00149.20_int_PF08321.4,0.906
PF00025.13_int_PF00025.13,0.915666666667
PF00104.22_int_PF08832.2,0.92175
PF00385.16_int_PF00385.16,0.929
PF00017.16_int_PF00018.20,0.929333333333
PF00167.10_int_PF07679.8,0.93025
PF00081.14_int_PF00081.14,0.944125
PF00004.21_int_PF09336.2,0.952666666667
PF00033.11_int_PF00033.11,0.966
PF00617.11_int_PF00618.12,0.969
PF00511.9_int_PF00511.9,0.977
PF00032.9_int_PF02939.8,0.98725
PF00712.11_int_PF02768.7,0.995
PF00032.9_int_PF02271.8,0.99625
PF00033.11_int_PF00355.18,0.998571428571
PF00033.11_int_PF02271.8,1.0
PF00033.11_int_PF02939.8,1.0
PF00034.13_int_PF02239.8,1.0
PF00127.12_int_PF06433.3,1.0
