DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
FGF_int_I-set,46,1.0,1.0,0.9,1.0,0.0,0.0
FGF_int_I-set,52,0.909,1.0,0.76,0.906,0.0,0.0
FGF_int_I-set,53,0.932,0.333,1.0,0.97,0.0,0.0
FGF_int_I-set,54,0.98,0.952,0.952,0.984,0.0,0.0
FGF_int_I-set,55,0.782,0.2,0.8,0.865,0.0,0.0
efhand_int_Troponin,16,0.852,0.333,1.0,0.79,0.0,0.0
efhand_int_Troponin,24,0.893,0.643,0.9,0.898,0.0,0.0
efhand_int_Troponin,12,0.816,0.32,0.8,0.819,0.0,0.0
efhand_int_Troponin,27,1.0,1.0,0.875,1.0,0.0,0.0
efhand_int_Troponin,20,0.848,0.474,0.75,0.856,0.0,0.0
efhand_int_Troponin,30,0.536,0.214,0.6,0.546,0.0,0.0
efhand_int_Troponin,8,0.876,0.682,0.833,0.88,0.0,0.0
efhand_int_Troponin,4,0.86,0.7,0.7,0.87,0.0,0.0
efhand_int_Troponin,15,0.63,0.0,0.0,0.642,0.0,0.0
efhand_int_Troponin,23,1.0,1.0,0.952,1.0,0.0,0.0
efhand_int_Troponin,19,0.657,0.154,0.667,0.686,0.0,0.0
efhand_int_Troponin,26,0.965,1.0,0.769,0.968,0.0,0.0
efhand_int_Troponin,3,0.478,0.0,0.0,0.349,0.0,0.0
efhand_int_Troponin,11,0.809,0.062,0.5,0.801,0.0,0.0
efhand_int_Troponin,29,0.97,0.95,0.95,0.97,0.0,0.0
efhand_int_Troponin,7,0.938,0.778,1.0,0.926,0.0,0.0
efhand_int_Troponin,14,0.918,0.875,0.778,0.906,0.0,0.0
efhand_int_Troponin,22,0.898,0.857,0.857,0.898,0.0,0.0
efhand_int_Troponin,18,0.948,1.0,0.833,0.932,0.0,0.0
efhand_int_Troponin,2,0.731,0.409,0.692,0.727,0.0,0.0
efhand_int_Troponin,25,0.959,0.143,1.0,0.959,0.0,0.0
efhand_int_Troponin,10,1.0,1.0,1.0,1.0,0.0,0.0
efhand_int_Troponin,28,1.0,1.0,1.0,1.0,0.0,0.0
efhand_int_Troponin,6,0.927,0.471,1.0,0.934,0.0,0.0
efhand_int_Troponin,13,0.639,0.5,0.6,0.694,0.0,0.0
efhand_int_Troponin,21,0.893,0.571,0.727,0.867,0.0,0.0
efhand_int_Troponin,17,0.878,0.857,0.75,0.878,0.0,0.0
efhand_int_Troponin,9,0.865,0.706,0.75,0.875,0.0,0.0
efhand_int_Troponin,1,0.9,0.8,0.889,0.9,0.0,0.0
efhand_int_Troponin,32,1.0,0.95,1.0,0.99,0.0,0.0
efhand_int_Troponin,34,0.98,0.857,0.857,0.98,0.0,0.0
efhand_int_Troponin,5,0.943,0.833,0.87,0.946,0.0,0.0
efhand_int_Troponin,36,0.939,1.0,0.824,0.939,0.0,0.0
efhand_int_Troponin,38,1.0,1.0,1.0,1.0,0.0,0.0
efhand_int_Troponin,39,1.0,1.0,0.933,1.0,0.0,0.0
efhand_int_Troponin,41,1.0,1.0,0.909,1.0,0.0,0.0
efhand_int_Troponin,31,0.98,0.857,1.0,0.98,0.0,0.0
efhand_int_Troponin,40,1.0,0.714,1.0,0.959,0.0,0.0
efhand_int_Troponin,33,1.0,1.0,0.933,1.0,0.0,0.0
efhand_int_Troponin,42,0.985,1.0,0.778,1.0,0.0,0.0
efhand_int_Troponin,35,0.968,0.95,0.95,0.97,0.0,0.0
efhand_int_Troponin,37,0.735,0.714,0.625,0.714,0.0,0.0
efhand_int_Troponin,43,1.0,1.0,0.778,1.0,0.0,0.0
efhand_int_Troponin,45,1.0,1.0,0.933,1.0,0.0,0.0
efhand_int_Troponin,44,0.93,1.0,0.769,0.925,0.0,0.0
EpoR_lig-bind_int_fn3,0.762290322581
FGF_int_I-set,0.887890909091
efhand_int_Troponin,0.892088888889
