DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00081.14_int_PF00081.14,12,1.0,0.875,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,26,0.959,0.857,0.857,0.0,0.0,0.0
PF00081.14_int_PF00081.14,40,1.0,1.0,1.0,0.0,0.0,0.0
PF00081.14_int_PF00081.14,42,0.979,1.0,0.825,0.0,0.0,0.0
PF00087.13_int_PF00087.13,1,0.974,0.826,0.95,0.0,0.0,0.0
PF00087.13_int_PF00087.13,2,0.769,0.136,0.75,0.0,0.0,0.0
PF00087.13_int_PF00087.13,4,0.915,0.935,0.784,0.0,0.0,0.0
PF00087.13_int_PF00087.13,5,0.705,0.182,0.8,0.0,0.0,0.0
PF00087.13_int_PF00087.13,6,0.977,0.938,0.882,0.0,0.0,0.0
PF00087.13_int_PF00087.13,7,0.903,0.409,1.0,0.0,0.0,0.0
PF00087.13_int_PF00087.13,8,0.43,0.091,0.5,0.0,0.0,0.0
PF00087.13_int_PF00087.13,10,0.982,0.933,0.778,0.0,0.0,0.0
PF00087.13_int_PF00087.13,12,0.94,0.848,0.848,0.0,0.0,0.0
PF00087.13_int_PF00087.13,16,0.695,0.35,0.778,0.0,0.0,0.0
PF00104.22_int_PF08832.2,1,0.941,0.692,0.964,0.0,0.0,0.0
PF00104.22_int_PF08832.2,4,0.962,0.8,1.0,0.0,0.0,0.0
PF00104.22_int_PF08832.2,9,0.984,0.781,1.0,0.0,0.0,0.0
PF00104.22_int_PF08832.2,11,0.959,0.788,0.929,0.0,0.0,0.0
PF00127.12_int_PF06433.3,1,1.0,1.0,1.0,0.0,0.0,0.0
PF00127.12_int_PF06433.3,15,1.0,0.917,1.0,0.0,0.0,0.0
PF00127.12_int_PF06433.3,27,1.0,1.0,0.875,0.0,0.0,0.0
PF00149.20_int_PF08321.4,1,0.883,1.0,0.741,0.0,0.0,0.0
PF00149.20_int_PF08321.4,3,0.861,1.0,0.703,0.0,0.0,0.0
PF00167.10_int_PF07679.8,1,0.951,0.867,0.929,0.0,0.0,0.0
